명사,빈도수
가방,134
생각,133
것,82
구매,63
수납,63
더,61
사이즈,46
색상,44
스트랩,41
색,38
맘,37
지갑,36
때,35
크기,35
거,35
선물,34
좀,34
끈,33
정도,32
용,31
진짜,31
포인트,31
배송,30
그냥,30
실물,29
크로스,29
공간,29
수,28
마음,27
데,24
일리,23
색감,23
나일론,20
작고,20
줄,19
호보,19
소재,18
사진,18
고민,17
친구,17
디자인,17
화이트,17
안,17
옷,16
물건,16
가격,15
조금,15
완전,15
색깔,15
사은,15
카드,15
허니,15
제이,15
작,14
어디,14
정말,14
코디,14
손잡이,14
도,14
스타일,14
로고,14
자주,13
핸드폰,13
실제,13
품,13
착용,13
느낌,12
부분,12
제품,12
다른,12
편이,12
화장품,12
마감,11
약간,11
활용,11
살짝,11
하나,11
상태,11
무난,10
움,10
가지,10
추천,10
쨍,10
매치,10
별로,10
여기저기,10
미니,10
퇴근,10
짐,10
제,9
주문,9
평소,9
사용,9
그대로,9
에어팟,9
은근,9
화면,9
가죽,9
할인,9
개,9
막,8
리,8
손,8
케이스,8
여,8
해,8
컬러,8
일,8
폰,8
리뷰,7
듭니,7
아주,7
무게,7
재질,7
퍼,7
크림,7
품절,7
찰떡,7
습,7
꽤,7
립밤,7
지퍼,7
겨울,7
사이클,7
뭐,7
저,7
스크래치,7
립,6
립스틱,6
모양,6
영,6
그레이,6
참고,6
각,6
재,6
관리,6
후회,6
길이,6
그대,6
오렌지,6
상품,6
만족,6
템,6
똑,6
쿠폰,6
전,6
걱정,6
보고,6
색도,6
지금,6
처음,5
팩트,5
휴대폰,5
형태,5
조절,5
먼지,5
구,5
힙,5
비교,5
알,5
소리,5
사서,5
여름,5
휘뚜루,5
퀄리티,5
털,5
집,5
보,5
안해,5
심플,5
자체,5
생일,5
요,5
연출,5
후기,5
소지품,5
편,5
검정,5
매력,5
포장,4
빨,4
다시,4
블랙,4
비,4
꼭,4
곳,4
점,4
아이보리,4
프로,4
선택,4
굿,4
구멍,4
후드,4
집업,4
햇,4
홀려,4
바닥,4
처리,4
매도,4
산,4
달,4
일단,4
말,4
무지,4
마뚜루,4
캐,4
주얼,4
여자친구,4
봄,4
기분,4
사고,4
계속,4
휘루,4
숄더,4
스트레,4
요즘,4
난,4
어깨,4
민트,4
도전,4
예뽀용,4
파스텔,4
톤,4
백,4
초록색,4
조그만,4
드네,3
택배,3
흰색,3
넣기,3
외출,3
바로,3
자국,3
쏙,3
활,3
용도,3
교환,3
상세,3
오늘,3
다행,3
앗,3
쪽,3
이건,3
종료,3
기전,3
쨍하,3
맛,3
쓸모,3
듯,3
파우치,3
출퇴근,3
긔여워,3
코트,3
왓구,3
못,3
한지,3
이틀,3
서비스,3
주신,3
직장,3
순간접착제,3
오늘이,3
메리크리스마스,3
이브,3
부착,3
뒤,3
예뿜,3
부담,3
중,3
애용,3
베이지색,3
보부상,3
사,3
광택,3
아무,3
치,3
엔젤스,3
파니니,3
최고,3
무리,3
나름,3
당황,3
은,3
만,3
면,3
그,3
내부,3
기도,3
검은색,3
편입,3
올블랙,3
상큼,3
쿠션,3
누리,3
끼리,3
나,3
정석,3
존예,2
시간,2
불편,2
십만원,2
프라다,2
주말,2
기,2
아이,2
검색,2
달라,2
시,2
장,2
눈,2
툭툭,2
데일,2
여행,2
연해,2
딸아이,2
셋트,2
비닐,2
보임,2
스카이,2
천,2
하늘색,2
잡고,2
떼,2
탈것,2
스크레치앤젱스,2
두부,2
어브,2
식,2
문제,2
용서,2
폭,2
메라,2
벌써,2
횟수,2
신경,2
유니크,2
룩,2
청바지,2
매,2
구경,2
세대,2
동전,2
메인,2
볼일,2
의류,2
금방,2
헤지,2
원색,2
박스,2
걸이,2
철,2
에기스,2
밖,2
진짜진짜,2
쪼,2
종잇장,2
주변,2
사람,2
고문,2
단점,2
혹,2
체인,2
욧,2
지도,2
폼폼,2
탈,2
잠옷,2
샷,2
토트,2
표시,2
둘,2
이,2
갑,2
날,2
예상,2
외,2
버전,2
너비,2
고리,2
수리,2
한번,2
장점,2
여기,2
저기,2
옆,2
내내,2
브랜드,2
펄,2
문구,2
두번째,2
보기,2
자,2
맨,2
두,2
때문,2
대신,2
원래,2
백이,2
취소,2
매우,2
동생,2
귀염,2
뽀짝,2
상자,2
글자,2
사계절,2
진작,2
유행,2
걸,2
최소,2
센치,2
적당,2
오히려,2
화이트록,2
욥,2
예뽀,2
손으루,2
달랑,2
인,2
슬롯,2
낑,2
구고,2
머리핀,2
이정,2
유지,2
시기,2
곳도,2
다음,2
날인,2
또,2
거나,2
틴트,2
저번,2
멋,2
가을,2
시즌,2
가면,2
여우,2
입틀막,2
귀얍,2
효,2
앙증,2
수정,2
확인,2
투맨,2
어차피,2
블,2
레이저,2
커서,2
등등,2
보스,1
백화점,1
절대,1
싸이클,1
짝퉁,1
이미지,1
약속,1
땐,1
큐트,1
복,1
삿는데,1
결정,1
휴대,1
물티슈,1
유감,1
온,1
핸들퍼,1
이면,1
랜덤,1
대학생,1
딸,1
생선,1
구입,1
폭풍,1
요기,1
사이트,1
컴팩트,1
자꾸,1
간편,1
돈,1
핸펀,1
장식,1
디테,1
일이,1
이전,1
은행,1
마트,1
겹,1
방수,1
심,1
뭔가,1
가성,1
리용,1
분위기,1
달리,1
진과,1
추석,1
시장,1
차림,1
상관,1
분,1
주의,1
햇던,1
힙하,1
구김,1
제격,1
운동복,1
매기,1
주기,1
널널해,1
직접,1
알짝,1
그것,1
핸들,1
도하,1
는걸,1
기본,1
마나,1
그레이햇,1
다소,1
액세서리,1
겨울철,1
보완,1
연,1
만큼,1
