날짜,리뷰
22.04.13.,실물존예보스네요 고민한시간이 아까워요
22.04.08.,좋은가격에 좋은 선물 됐어요
22.04.01.,생각보다 사이즈가 작음..너무 불편
22.03.31.,마감도 좋고 포장도 깔끔! 사이즈도 딱 적당했어요! 선물로 샀는데 배송도 빨라서 만족합니다!
22.03.23.,막 들고 다니기 좋네용
22.03.21.,예쁘네요 조금 작지만 마음에 듭니다
22.03.20.,받아보니 박긴한데 너무 이쁘네요. 무난하고 가볍고 어디든 들기좋아요 잘샀어요
22.03.15.,"배송빠르네요^^
백화점보다저렴히 잘샀어요ㅎ
이쁘네요"
22.03.08.,빨리받았어요!실물이더갠찬아요!자주들고다닐꺼같아요~
22.03.06.,"진짜 이뻐요
간편하게 들기 좋아요
잘들께요
맘에 들어요^^*"
22.03.05.,절대 십만원같이 안생겼지만.. 걍 리싸이클된다하니깐..
22.03.01.,작긴하지만 이쁩니다
22.02.24.,제가 생각한 사이즈에요 넘 맘에 드네요 크로스로 쓸수도 있고 좋아요^^
22.02.23.,넘이쁘네용 근데 프라다짝퉁이미지가 강해서 데일리로는 드는데 주말이나 약속나갈땐 들기가좀 ㅠㅠ
22.02.17.,"생각보다 많이 들어가고 가벼워요
조아요"
22.02.16.,가볍게 들고 어느옷이나 잘어울리는 데일리백입니다
22.02.12.,처음 주문했을때 크로스끈이 빠져있어서 다시 택배 보내고번거로웠지만 가방은 들고다니기 편하고 좋아요
22.02.12.,가볍고 큐트합니다 편하게 들수있어요
22.02.08.,마음에 들어요. 복 많이받으세요
22.02.06.,친구선물로 삿는데 깔끔하고 딱예뻐요!
22.01.24.,"가볍고 편하게 들고 다닐수있는 가방을 찾고 있었는데 보자마자 구매 결정.아이들이 있어서
휴대용물티슈,반지갑,핸드폰,립,팩트 넣고 다니는데
너무 꽉찬 느낌은 아니고 물건들 넣고 뺄때도 여유감
있고 너무 편하다.이쁘게 잘 들고 다닐게요~"
22.01.23.,"그냥 편하게 지갑 .휴대폰만 넣어다닐때
쓰려고 구매했는데 크기도 적당하고 좋아요
근데 같이 온 핸들퍼는 흰색이 와서..
블랙가방이면 같은 색이면 좋으련만..
랜덤이라서 그렇다던데 그부분은 참아쉽네요
같은색상넣기 힘들진 않을것 같은데.."
22.01.21.,조금 더 컸으면 좋을텐데...그래도 맘에들어 잘들고 다닙니다
22.01.21.,대학생 딸 생선으로 구입했어요~~ 폭풍검색해서 요기 사이트 보내주고 어떤 가방 맘에 드냐고 물어보니 이거 사달라고 해서 사줬습니다^^ 아주 좋아해요♡♡
22.01.16.,휘뚜루마뚜루 들고다니기 참 좋아요. 지갑. 핸드폰. 팩트 들어가기엔 딱 컴팩트한 사이즈에요
22.01.08.,자꾸손이가는가방이에요~~
22.01.08.,너무맘에들어요 좋아요
22.01.07.,배송빠르고 제품 괜찮네요
22.01.04.,좋아요~~ 간편외출시 완전 편합니다. 잘샀어오ㅡ
22.01.03.,어느정도는 돈에 가보치 할꺼라 생각했는데 십만원짜리 치고는.
21.12.19.,배송이 정말 빨라서 좋았어요
21.12.16.,디자인도 무게감도 가볍고 좋아요^^ 빠른 배송 감사합니당ㅎ
21.12.10.,"가볍고 편한데 생각보단 작아요 장지갑은 안들어가네요 핸펀,반지갑,립스틱 정도 넣어다니면 딱이네요"
21.12.08.,"원하던 작은 사이즈 평범한 모양인데
장식과 디테일이 이전 것보다 고급스럽네요"
21.11.23.,가볍고 아무옷에나 잘어울려서 좋아요
21.11.21.,생각했던것보다 작긴한데 은행갈때 마트나갈때 가겹게 들고다니기 좋습니다. 재질도 나일론이라 눈 비를 맞아도 툭툭 털면되서 방수도되고 좋아요 잘 들고 다닐께요
21.11.17.,가볍게 들고 외출하기너무편하고 좋아요
21.10.26.,"너무 맘에들어영 다들 이쁘다고하심
꼭사세여"
21.10.19.,가볍고 좋은데 뭔가 코디하기가 약간 까다로워서 손이 잘 안가요ㅠ그래도 귀여움
21.10.18.,잘 받았습니다. 생각보다 많이 들어가요
21.10.16.,가성비좋고 막들고다니기 좋아요~
21.10.06.,사이즈는 작지만 간단하게 들고 다니기 너무 좋으네요
21.10.04.,데일리용으로 가벼운 가방 찾고 있었는데 딱 이거다 싶어요! 스트랩도 두가지형태라 옷에 따라 분위기도 달리할 수 있어 좋네요~
21.09.30.,사진과같이 이뻐요~~^^
21.09.26.,"추석 지나고 바로 배송와서 빠르네요
가방도 생각보다 딱이네요 아담하고 그렇게 길지도않고 딱입니다"
21.09.07.,시장갈때 넘 편해요
21.08.26.,가볍고 이쁩니다 추천
21.08.25.,가볍고 여행갈때나 평소 가벼운 차림에 잘 어울리겠어요
21.07.29.,만족합니다 편하게 쓸것같아요
