날짜,리뷰
22.04.07.,생각보다 색이연해요 배송빨라요!!
22.03.28.,딸아이가 좋아하네요 ...
22.03.25.,사이즈도 적당하고 이뻐요
22.03.21.,"가방너무 맘에 들어요.
근데ㅠㅠ 자국이있어요.속상하네요"
22.02.18.,맘에 쏙 들어요 퍼도 셋트 색상으로 보내주셔서 이곳저곳 잘 활용할 것 같아요. 생각보다 많이들어가서 활용도가 너무 좋을 것 같아요
22.02.14.,"비추~
비닐 느낌이 너무나서 많이 저렴하게보임
생각보다 더 작음
색상은 스카이인데 그레이에 가까움
그냥 천으로 된게 나을듯...
교환하기 귀찮으니 그냥 사용합니다"
21.12.29.,화이트색깔이 이뻐요
21.12.06.,좋은 제품 잘 받았습니다.
21.11.24.,"고민 많이하고 샀는데 너무 맘에들어요!
그렇게 크지 않다는 점은 참고해주세요~
나일론 소재랑 다르게 각이 딱 잡혀있어서 더 이쁜것 같아요
색깔은 너무 밝지도 않은 적당한 하늘색입니다"
21.11.09.,크림색상 이뻐요 가볍고
21.11.05.,좋은 가격에 잘 구매했습니다.
21.11.02.,사진 그대로 입니다 이쁘네요 잘 메고 다닐게요
21.10.29.,예뻐요 선물로 샀는데 만족스러워요
21.10.24.,생각보다 작긴한데 앙증맞게 들고 다닐수 있을것 같아요
22.04.07.,생각보다 색이연해요 배송빨라요!!
22.03.28.,딸아이가 좋아하네요 ...
22.03.25.,사이즈도 적당하고 이뻐요
22.03.21.,"가방너무 맘에 들어요.
근데ㅠㅠ 자국이있어요.속상하네요"
22.02.18.,맘에 쏙 들어요 퍼도 셋트 색상으로 보내주셔서 이곳저곳 잘 활용할 것 같아요. 생각보다 많이들어가서 활용도가 너무 좋을 것 같아요
22.02.14.,"비추~
비닐 느낌이 너무나서 많이 저렴하게보임
생각보다 더 작음
색상은 스카이인데 그레이에 가까움
그냥 천으로 된게 나을듯...
교환하기 귀찮으니 그냥 사용합니다"
21.12.29.,화이트색깔이 이뻐요
21.12.06.,좋은 제품 잘 받았습니다.
21.11.24.,"고민 많이하고 샀는데 너무 맘에들어요!
그렇게 크지 않다는 점은 참고해주세요~
나일론 소재랑 다르게 각이 딱 잡혀있어서 더 이쁜것 같아요
색깔은 너무 밝지도 않은 적당한 하늘색입니다"
21.11.09.,크림색상 이뻐요 가볍고
21.11.05.,좋은 가격에 잘 구매했습니다.
21.11.02.,사진 그대로 입니다 이쁘네요 잘 메고 다닐게요
21.10.29.,예뻐요 선물로 샀는데 만족스러워요
21.10.24.,생각보다 작긴한데 앙증맞게 들고 다닐수 있을것 같아요
