날짜,리뷰
2022.01.23,"품절되서 구매 못할 줄 알았는데 재입고 되서 너무 좋아요!!
가방은 너무 이쁩니다!!!"
2021.12.21,"가방은 상세에서 본 것 그대로에요
살짝 아이보리도 아니라 쨍한 화이트라 관리는 잘 해야겠지만 그래서 더 이뻐ㅠㅠ
크로스도 너무 이쁘고 손잡이 잡고다녀고 100프로 걍 이쁩니다.
오늘 코디에 매치해봤는데 찰떡이네..
아무튼 실물이 더 예뻐요..
에어팟가방은 프로는 케이스 벗겨야 들어갑니다!"
2021.05.13,"흰색이라 떼 탈것같아서 무섭지만 수납도 좋고, 재질도 너무 마음에 들어용ㅎㅎ"
2022.01.23,"품절되서 구매 못할 줄 알았는데 재입고 되서 너무 좋아요!!
가방은 너무 이쁩니다!!!"
2021.12.21,"가방은 상세에서 본 것 그대로에요
살짝 아이보리도 아니라 쨍한 화이트라 관리는 잘 해야겠지만 그래서 더 이뻐ㅠㅠ
크로스도 너무 이쁘고 손잡이 잡고다녀고 100프로 걍 이쁩니다.
오늘 코디에 매치해봤는데 찰떡이네..
아무튼 실물이 더 예뻐요..
에어팟가방은 프로는 케이스 벗겨야 들어갑니다!"
2021.05.13,"흰색이라 떼 탈것같아서 무섭지만 수납도 좋고, 재질도 너무 마음에 들어용ㅎㅎ"
2021.12.24,"품절되서 구매 못할 줄 알았는데 재입고 되서 너무 좋아요!!
가방은 너무 이쁩니다!!!"
2021.12.22,"화이트 색상 가방이 없어서 구매했는데 첫구매 너무 잘 한것같아요ㅎ 후회없는 선택!
은근히 이것저것 들어가더라구요~
무게도 무겁지도 가볍지도 않구
화이트라 관리만 잘하면! 굿!"
2021.04.16,가방 실제로 받아보니 사진보다 실물이 훨씬 이뻐요 ㅎㅎ 가방 수납이 생각한것보다 엄청 넉넉해요! 색상별로 다 사고싶네요!!!
2021.12.24,"품절되서 구매 못할 줄 알았는데 재입고 되서 너무 좋아요!!
가방은 너무 이쁩니다!!!"
2021.12.22,"화이트 색상 가방이 없어서 구매했는데 첫구매 너무 잘 한것같아요ㅎ 후회없는 선택!
은근히 이것저것 들어가더라구요~
무게도 무겁지도 가볍지도 않구
화이트라 관리만 잘하면! 굿!"
2021.04.16,가방 실제로 받아보니 사진보다 실물이 훨씬 이뻐요 ㅎㅎ 가방 수납이 생각한것보다 엄청 넉넉해요! 색상별로 다 사고싶네요!!!
2022.03.15,스크레치앤젱스 작고 귀엽네여 두부백 어브화이트
2021.12.25,너무 이뻐서 여기저기서 이쁘다고.. 잘 매고 다니겠습니당??
2021.12.24,"품절되서 구매 못할 줄 알았는데 재입고 되서 너무 좋아요!!
가방은 너무 이쁩니다!!!"
2021.12.21,"쨍한 화이트! 눈부셔오어
끈조절은 구멍에 넣는 식으로 되어있는 건데 이거는 구멍이 헐거워지면 빠질 수 있는 부분이니 참고!
길이조절은 문제없어용
아무튼 공간도 꽤 괜찮고 이쁩니당"
2021.12.09,생각한거보다 엄청 예뻐요 수납이 부족한게 용서됨..
2021.04.16,"배송도 빠르게 왔고 색상별로 다 구매하고싶을 정도로 디자인, 수납, 색상 너무 이뻐요 ㅎㅎ 어느 코디에든 어울리는 가방인 것 같아요!"
2021.03.20,많이 작을 줄 알았는데 가방 폭이 있어서 생각보다 수납공간이 좀 있어서 좋습니다.
2022.03.15,스크레치앤젱스 작고 귀엽네여 두부백 어브화이트
2021.12.25,너무 이뻐서 여기저기서 이쁘다고.. 잘 매고 다니겠습니당??
2021.12.24,"품절되서 구매 못할 줄 알았는데 재입고 되서 너무 좋아요!!
가방은 너무 이쁩니다!!!"
2021.12.21,"쨍한 화이트! 눈부셔오어
끈조절은 구멍에 넣는 식으로 되어있는 건데 이거는 구멍이 헐거워지면 빠질 수 있는 부분이니 참고!
길이조절은 문제없어용
아무튼 공간도 꽤 괜찮고 이쁩니당"
2021.12.09,생각한거보다 엄청 예뻐요 수납이 부족한게 용서됨..
2021.04.16,"배송도 빠르게 왔고 색상별로 다 구매하고싶을 정도로 디자인, 수납, 색상 너무 이뻐요 ㅎㅎ 어느 코디에든 어울리는 가방인 것 같아요!"
2021.03.20,많이 작을 줄 알았는데 가방 폭이 있어서 생각보다 수납공간이 좀 있어서 좋습니다.
