날짜,리뷰
2022.03.26,"색 화면 그대로고 예뻐요
근데 나일론 이라서 그런지 잘 모르겠는데 먼지가 많이 붙고 안에 수납이 하나라도 나눠져 있지 않은게 약간 아쉬워요"
2022.02.28,"색상도 튀고
포인트가방으로 괜찮아용
그리고 가방에 따로 크로스로도 메라고주는
가방끈이 따로 있는데 벌써 더러워져서
마음이 아프네요ㅠㅜ
새가방이랑 들고다닌횟수도 별로안되는데
크로스끈이 소재가 호보백소재같은
나일론이아니라 가죽이여서 그런것같아요
그래도
이왕산거 이쁘게 잘들고다니려구요
신경써서 관리만 잘해주려구요!"
2022.03.26,"색 화면 그대로고 예뻐요
근데 나일론 이라서 그런지 잘 모르겠는데 먼지가 많이 붙고 안에 수납이 하나라도 나눠져 있지 않은게 약간 아쉬워요"
2022.02.28,"색상도 튀고
포인트가방으로 괜찮아용
그리고 가방에 따로 크로스로도 메라고주는
가방끈이 따로 있는데 벌써 더러워져서
마음이 아프네요ㅠㅜ
새가방이랑 들고다닌횟수도 별로안되는데
크로스끈이 소재가 호보백소재같은
나일론이아니라 가죽이여서 그런것같아요
그래도
이왕산거 이쁘게 잘들고다니려구요
신경써서 관리만 잘해주려구요!"
2022.03.26,"색 화면 그대로고 예뻐요
근데 나일론 이라서 그런지 잘 모르겠는데 먼지가 많이 붙고 안에 수납이 하나라도 나눠져 있지 않은게 약간 아쉬워요"
2022.03.22,선물으로 사줬는데 친구가 좋아해요ㅎㅎ 너무 다행입니다
2022.03.12,"진짜 너무 유니크 해요ㅎ
후드집업에 입어도 잘 어울리고 힙한 룩에 입어도
잘 어울립니다?? 그냥 후드집업에 청바지만 입고
가방을 매줬는데 너무 잘 어울렸어요"
2022.03.05,생각햇던것보다 작앗지만 귀여워여 데일리로 잘 들고 다닐거같아여
2022.03.02,"작은 가방을 좋아해서 사이즈는 마음에 들어요!
귀여워서 홀려서 구경왔다가 더 귀여운거
사은품 준다고 해서 홀려서 구매했는데
실제로 봐도 귀엽네용

사은품은 에어팟이나 넣고 다녀야지 했는데
받아보니 2세대 케이스 낀 상태에서 들어가긴하는데
빼는게 너무 힘들고 에어팟 케이스 빼고 넣으면
빼다가 날려먹을거 같아 그냥 립밤이나 동전 넣어 쓸까해요

색감도 귀여워요
메인 가방 바닥 마감처리가 좀 아쉬워요
바닥을 볼일은 없겠지만 의류쪽은 막 쓰는 스타일이라
금방 헤지면 어쩌지 상태의 마감이에요ㅠ

이건 같은 가격대 다른 가방들 마감처리랑 비교가 되서ㅠ"
2022.02.25,"ㄱㄱ ㅑ~ 너무 맘에 들어요. 작은 거는 알고 샀고, 사은품 종료되기전에 서둘러 구매했는데 같은 색상으로 보내주신 거 감사합니다. ㅎ 실제 색상은 생각보다 쨍하지 않았어요. 완전 쨍한 원색적인 오렌지인줄 알았는데 약간 화이트 섞인 여리여리한 오렌지 컬러입니다. 그냥 들어도 예쁘고 스트랩으로 매도 넘 예뻐요. 진짜 잘 산 거 같아요. ㅎ

근데 박스가 너무 처참한 상태로 왔;;"
2022.02.23,너무너무 예뻐요! 깔별로 다 사고싶을만큼 ㅠ 데일리로 잘 들고 다닐것 같아용 ~!
2022.02.21,"상품받을때
가방걸이(철부분?)에기스가 살짝있긴있었는데
이미들고 밖에돌아다녀서 그냥 잘메고다니려구용
가방은진짜진짜이뻐요
쪼그만한 가방도같이주셔서
잘쓰고있고
그리고나일론이여서 종잇장처럼 구겨지는 가방보다좋아요
주변사람들도
귀엽고,이쁘다고하더라구요
가방이닮고문드러질때가지잘들고다닐게용♡"
2022.02.21,"귀여워요특히미니호보백이
귀여운맛에달고다녀용
립밤하나들어갈정도로작아서별쓸모는없을것같은데"
2022.02.18,가방 깜찍하고 귀여워요 생각보다 물건많이들어가요
2022.03.26,"색 화면 그대로고 예뻐요
근데 나일론 이라서 그런지 잘 모르겠는데 먼지가 많이 붙고 안에 수납이 하나라도 나눠져 있지 않은게 약간 아쉬워요"
2022.03.22,선물으로 사줬는데 친구가 좋아해요ㅎㅎ 너무 다행입니다
2022.03.12,"진짜 너무 유니크 해요ㅎ
후드집업에 입어도 잘 어울리고 힙한 룩에 입어도
잘 어울립니다?? 그냥 후드집업에 청바지만 입고
가방을 매줬는데 너무 잘 어울렸어요"
2022.03.05,생각햇던것보다 작앗지만 귀여워여 데일리로 잘 들고 다닐거같아여
2022.03.02,"작은 가방을 좋아해서 사이즈는 마음에 들어요!
귀여워서 홀려서 구경왔다가 더 귀여운거
사은품 준다고 해서 홀려서 구매했는데
실제로 봐도 귀엽네용

사은품은 에어팟이나 넣고 다녀야지 했는데
받아보니 2세대 케이스 낀 상태에서 들어가긴하는데
빼는게 너무 힘들고 에어팟 케이스 빼고 넣으면
빼다가 날려먹을거 같아 그냥 립밤이나 동전 넣어 쓸까해요

색감도 귀여워요
메인 가방 바닥 마감처리가 좀 아쉬워요
바닥을 볼일은 없겠지만 의류쪽은 막 쓰는 스타일이라
금방 헤지면 어쩌지 상태의 마감이에요ㅠ

이건 같은 가격대 다른 가방들 마감처리랑 비교가 되서ㅠ"
2022.02.25,"ㄱㄱ ㅑ~ 너무 맘에 들어요. 작은 거는 알고 샀고, 사은품 종료되기전에 서둘러 구매했는데 같은 색상으로 보내주신 거 감사합니다. ㅎ 실제 색상은 생각보다 쨍하지 않았어요. 완전 쨍한 원색적인 오렌지인줄 알았는데 약간 화이트 섞인 여리여리한 오렌지 컬러입니다. 그냥 들어도 예쁘고 스트랩으로 매도 넘 예뻐요. 진짜 잘 산 거 같아요. ㅎ

근데 박스가 너무 처참한 상태로 왔;;"
2022.02.23,너무너무 예뻐요! 깔별로 다 사고싶을만큼 ㅠ 데일리로 잘 들고 다닐것 같아용 ~!
2022.02.21,"상품받을때
가방걸이(철부분?)에기스가 살짝있긴있었는데
이미들고 밖에돌아다녀서 그냥 잘메고다니려구용
가방은진짜진짜이뻐요
쪼그만한 가방도같이주셔서
잘쓰고있고
그리고나일론이여서 종잇장처럼 구겨지는 가방보다좋아요
주변사람들도
귀엽고,이쁘다고하더라구요
가방이닮고문드러질때가지잘들고다닐게용♡"
2022.02.21,"귀여워요특히미니호보백이
귀여운맛에달고다녀용
립밤하나들어갈정도로작아서별쓸모는없을것같은데"
2022.02.18,가방 깜찍하고 귀여워요 생각보다 물건많이들어가요
2022.03.24,"색 화면 그대로고 예뻐요
근데 나일론 이라서 그런지 잘 모르겠는데 먼지가 많이 붙고 안에 수납이 하나라도 나눠져 있지 않은게 약간 아쉬워요"
2022.03.16,넘 깜찍함 아무옷이나 다어울려요 귀여움 귀여움
2022.03.12,"일단 보자마자 소리를 질렀습니다..
말이 안 나오게 너무 예뻤어요
가격이 있는 편이라 고민 하고 샀는데
고민 한 시간이 아까울 정도로 무지 맘에 들었어요
하지만 단점 아닌 단점이 있다면 가방 안에 물건들을
잴 맞춰가며 넣어야 지퍼가 잠깁니다!
조금만 갖고 다니면 상관 없는데
많이 갖고 다니시는 분들이라면 주의 해주세요??"
2022.03.05,생각햇던 것보다 작앗지만 데일리로 잘 들고다닐거 같아여
2022.03.02,"귀여워요 귀엽고 귀여움
힙하게 매고 다니기 좋을 듯해용 만족"
2022.02.25,"ㄱㄱ ㅑ~ 너무 맘에 들어요. 작은 거는 알고 샀고, 사은품 종료되기전에 서둘러 구매했는데 같은 색상으로 보내주신 거 감사합니다. ㅎ 색상은 생각보다 쨍하지 않았어요. 쨍한 오렌지인줄 알았는데 약간 화이트 섞인 여리여리한 오렌지 컬러입니다. 그냥 들어도 예쁘고 스트랩으로 매도 넘 예뻐요. 진짜 잘 산 거 같아요. ㅎㅎ"
2022.02.23,사은품에 혹해서 샀는데 가방 넘귀여워요 핸드폰 지갑 넉넉히 들어가고 가벼워서 좋아요.
2022.02.21,"나일론 가방이라 구김이없고
포인트가방으로제격이예용"
2022.02.21,"귀여워요특히미니호보백이
귀여운맛에달고다녀용
립밤하나들어갈정도로작아서별쓸모는없을것같은데"
2022.02.19,컬러 디자인 다 귀엽네요 가볍게 들고 다니기 좋아요 배송도 빠르네요 굿
2022.02.18,"가방 작고귀여워요 생각보다 많이들어가고
호보 미니파우치는 완전귀여워요ㅋㅋ"
2022.02.18,"가방 작고귀여워요 생각보다 많이들어가고
호보 미니파우치는 완전귀여워요ㅋㅋ"
