날짜,리뷰
2022.03.30,생각보다 물건이 많이들어가요! 그리고 따로 체인줄을 사서 달아줬는데 잘 어울리고 여기저기 들기 좋아요!
2022.03.15,여름에 출퇴근할때 가볍게 들고 다니기 좋을것같아오 긔여워요~
2022.03.06,깔끔하고 가벼워서 휘뚜루 마뚜루 매고 다닐 수 있을 것 같아용 너무 이쁩니다!
2022.02.19,생각했던 것보다 수납도 너무 잘 되고 너무 예뻐요! 운동복에도 코트에도 어디에도 휘뚜루마뚜루 매기 좋아요
2022.02.12,"생각보다 아담하지만 휘뚜루마뚜루 메고 다니기 좋아요!!!
크로스 끈이 포인트로 딱이에요!"
2022.02.05,배송은 무지빨리왓구요 화면이랑똑같아요 가볍고 이뿌고데일리로자주할거같아요 너무이뿝니다
2022.01.31,"처음에 받았을때 생각보다 작았는데 그래도 챙기고 다녀야 할 핸드폰 지갑 화장품 조금 들어가욧
일단 코디하기 쉽고 포인트 주기 좋아요 ㅎㅎ"
2022.01.26,색감이 일단 너무 이쁘고 크기도 너무 크지도 작지도 않아요
2022.01.13,수납공간 생각보다 널널해요 캐주얼하게 들수있는 휘뚜루템!!
2021.12.29,"같이일하는 친구선물로 산건데 ^^
직접보니 제것두 사고싶네요.
너무이쁘네용"
2021.12.29,크로스백으로 착용해도 이쁘네요 퍼가 은근 퀄리티 좋고 너무 예뻐요
2021.12.27,여자친구 선물로 사줬어요 사이즈가 생각보단 좀 작지만 좋아하네용ㅎㅎ
2021.12.26,"예쁘고 귀여워요 근데 생각보다 가방이 작아서 많이는
못 넣고 다녀요. 그리고 털을 안붙이면 사알짝 부실해보이는 느낌이 있어서 그것빼고는 완벽한 가방입니다."
2021.12.24,"허제퇴근백 예뻐서 주문한지 이틀만에 겟 했습니다 가방이 정말 아담하고 예뻐요 근데 서비스로 주신 퍼 손잡이는.. 집에서 직장까지 10분 메고 벗었는데 똑딱이가 이미 가방에서 똑 떨어져 있더라고요.. 순간접착제로 붙일거예요.. 깔끔하게 떨어진거 보니까 추워서 그런것 같은데 오늘이 좀 춥긴했어요,, 메리크리스마스이브..."
2021.12.22,"꺅너무이뻐요ㅜ
사은품으로주신퍼핸들도하니까포인트되구
폼폼이는집에잇는걸로달앗는데 찰떡이더라구요
사이즈도적당하구데일리로들고다니기좋을듯해요 블랙컬러는 기본적으로 마나서그레이햇는데
색상선택잘한듯! 너무이쁩니당"
2021.12.21,겨울이라서 호보백소재가 다소 없어보일수잇는데 손잡이에 따로 털? 부착할수있도록 액세서리가 따라오더라구요! 그래서 겨울철에도 스타일이 보완되서 좋았습니다 탈부착이니 당연 봄여름에는 떼고 다닐수있구요! 휘뚜루마뚜루 들고다니기 좋아용
2021.12.16,소재가 가죽이 아니라서 어디에나 잘 어울리고 사이즈도 적당해용 생각보다 많이 들어갑니당
2021.11.17,선물용으로 샀는데 딱 필요한 물건들만 넣어서 휘뚜루마뚜루 들고 다니기 좋아요
2021.11.08,"집에서 잠옷입고 스타일샷.
잠옷에도 ㄱ잘어울려요.
고민 진짜 많이 했던 가방 만큼 마음에 듭니다. 크기는 생각보다 좀 작았지만 휴대폰 카드지갑 이랑 작은 화장품들 잘 들어갑니다. 라인도 잘 빠진듯 합니다.
짧은 스트랩은 좀 뻣뻣해서 많이 사용해야 자연스러워질것 같습니당 넘 이뻐요.
허니제이랑 같은 가방이라 더 좋네요.
할인쿠폰 먹여서 시중보다 저렴하게 산거같아서 기분좋네용^^"
2021.10.23,허니제이 퇴근가방이라고 해서 샀는데너무너무 이뻐요
2021.10.20,전부터 사고 싶었는데 세일을 안해서 계속 기다렸는데 세일을 해서 드디어 구매를 했어용 ~ 이뻐용 ~ 휘루룩 들고 다닐수 있어서 좋은것 같아요! 카드 지갑도 사은품으로 받아서 너무 좋아용 ~
2021.09.28,"크로스로도 좋고, 숄더나 토트로도 좋아서
여기저기 코디하기 좋아요"
2021.08.29,"가격이 똑같아서 리사이클인 줄 모르고 사서 뒤에 리사이클 표시가 있는게 좀 그렇지만 뭐 똑같으니까..
끈 형태가 2개라서 좋고 둘 다 유용해요 예뿜??"
2021.08.28,실물이 더 예뻐요 손잡이 스트랩은 생각보다 짧아서 긴 스트랩을 더 많이 활용할 것 같아요! 생각보다 아무데나 잘 어울려요 ㅎㅎ
2021.10.20,전부터 사고 싶었는데 세일을 안해서 계속 기다렸는데 세일을 해서 드디어 구매를 했어용 ~ 이뻐용 ~ 휘루룩 들고 다닐수 있어서 좋은것 같아요! 카드 지갑도 사은품으로 받아서 너무 좋아용 ~
2021.09.28,"크로스로도 좋고, 숄더나 토트로도 좋아서
여기저기 코디하기 좋아요"
