날짜,리뷰
2022.03.02,첨으로 민트색 도전해봤는데 예뽀용 올블랙이나 올화이트록에 잘어울릴듯
2022.02.13,생각보다 사이즈가 작아여 근데 귀욥고 들어갈군 다 들어가요 사세요
2021.12.27,배송도 엄청 빠르고 안전하게 왔어요 색감도 상큼하고 예뻐요
2021.10.24,"요즘 아주 휘뚜루마뚜루 메고 다닙니다
수납도 들어갈건 다 들어가요 넘 예뽀??"
2021.10.21,"생각보다 더 작네요 가방이ㅎㅎ
손으루 달랑 들고다니기 좋겠네용"
2021.10.10,사이즈 생각보다 작았는데 필요한 짐 추려서 들고다니기에 좋을것같아요 스트랩에 로고가 포인트되고 이쁘네용
2022.03.02,첨으로 민트색 도전해봤는데 예뽀용 올블랙이나 올화이트록에 잘어울릴듯
2022.02.13,생각보다 사이즈가 작아여 근데 귀욥고 들어갈군 다 들어가요 사세요
2021.12.27,배송도 엄청 빠르고 안전하게 왔어요 색감도 상큼하고 예뻐요
2021.10.24,"요즘 아주 휘뚜루마뚜루 메고 다닙니다
수납도 들어갈건 다 들어가요 넘 예뽀??"
2021.10.21,"생각보다 더 작네요 가방이ㅎㅎ
손으루 달랑 들고다니기 좋겠네용"
2021.10.10,사이즈 생각보다 작았는데 필요한 짐 추려서 들고다니기에 좋을것같아요 스트랩에 로고가 포인트되고 이쁘네용
2022.03.31,가방 색상은 말끔한 화이트 끈은 살짝 아이보리? 색감이에요 예뿜ㅁ니당 ㅎㅎ 봄여름 들기 조을듯
2022.03.29,컬러도 사진이랑 같고 작고 예뻐서 자주 들고다닐것같아요!!
2022.03.26,생각보다 조금 작긴 하지만 원하는 색상 그대로 너무 예뻐요
2022.03.24,"그냥 막 들기 좋을거 같아 구매했고
만족해요~
색감과 크기도 딱 생각했던 그대로."
2022.03.17,어떤 색을 구매할지 엄청 고민하다 무난하게 검정 선택했는데 잘 한 거 같아요 아무 때나 들고 다니기 편할 거 같아요
2022.03.14,"삶으 무게가 무거울때~~~ 인샌~~~
가방이라도 가볍고 싶을때

달랑달랑 막 들기 좋아욤@_@

내부 카드슬롯 하나잇어서 카드하나 낑구고
(지갑은 넣기 무리라는 소리)
에어팟 쿠션 립밤 머리핀 이정도 들어감니다"
2022.03.14,"어디에나 찰떡이예요 검정이즈 뭔들 ,, 살지 말지 고민하시마세욧"
