날짜,리뷰
2022.04.01,키가 180cm인데 사이즈 괜찮은거 같습니다
2022.04.01,예뻐요 깔끔한 가방 찾고 있었는데 잘산 거 같아용
2022.03.25,수납공간이 되게 넉넉해서 좋았어요 가방이 너무 클까봐 걱정했는데 사이즈도 적당했어요 여자분들이 사용하시는 게 좋을 것 같아요 남자분들한테는 좀 작을 것 같네요
2022.03.16,로고가 심플하고 깔끔해서 어떤 옷에도 잘어울려요
2022.03.12,생각햇던거처럼 이뻐용 심플 이즈더 베스트 실망시키지 않네요 칼하트
2022.03.12,대학생 아들한테 선물 주었는데 15인치 노트북 파우치에 넣어도 가방에 수납넉넉해요~~크기도 적당하고 브랜드 마크도 부담스럽지 않고 가방을 맸을때 은근 멋스럽네요~~어깨끈도 도톰해서 아프지 않아 너무 좋다고 하네요~~^^
2022.03.02,수납공간 넉넉하고 가방도 예뻐서 언제든지 메고다닐수 있어요
2022.02.23,수납공간도 많고 가볍고 무엇보다 어느옷에 매고다녀도 이뻐요!!
2022.01.19,"처음 봤을 때 약간 작은가 싶었는데 들고 다녀 보니까 물건도 많이 들어가고 사이즈 적당한 거 같아요 무게도 크게 무겁지 않고 깔끔해요 예뻐요 ????
다만 수납 공간이 효율적으로 나누어져 있지는 않은 거 같아요 한 공간에 수납하면 바로 옆이나 앞에 붙은 다른 공간을 쓰기가 불편한 그런 구조랄까…?
각 잡혀있어서 짐이 많거나 적어도 모양이 예쁘게 잡혀 있어서 좋았어요
가방 어깨 부분이 넓어서 어깨가 좁은 저는 빵빵한 옷이나 미끄러운 재질 옷 입으면 흘러내려서 가끔 불편했어요"
2022.01.07,"가방의 사이즈 가방 내부 공간, 등 밀착도, 스타일 다 좋음 남 녀 누구나 다 어울림"
2021.12.27,수납공간 넉넉하고 디자인도 이뻐서 메고다니기 좋음
2021.12.22,제가 키에비해 골격이 큰편이라 좀 작긴한데 수납자체는 널널해요 15인치 노트북 들어가고 전공책 3-4권은 넣는듯
2021.12.22,핏도 괜찮고 재질이며 사이즈 모두 나쁘지 않습니다
2021.12.10,"일단 예뻐요! (막 배송왔을때 찍었던 사진이라 살짝 뻣뻣한데 지금은 모양이 좀 잡혀서 더 이뻐요.)

키 159기준 가방 크기는 적당하지만 가방 조절끈이 살짝 위쪽에 있을 수 있어요.(사진첨부)
지퍼색이 신경쓰일 줄 알았는데 그런거보다 가방 무게가 쪼오오금 무거웠어요. 그리고 수납이 잘 되긴하지만 한칸 정도 더 있으면 하는 아쉬움이 남았어요. 그래도 텀블러는 옆에 잘 넣고 다닐 수 있어서 좋아요.

아 근데 인기 많은 가방인 만큼 지하철 탈 때 자주 보여서 의도치 않은 커플템이 되어버릴수도,,,??"
2021.12.08,예쁘고 수납공간 넉넉해서 좋은거 같아요. 만족합니다.
2021.11.07,역시나 예쁘고 배송이 너무 빨라용 좋아요 ㅎㅎ 절대 후회 안함
2021.09.26,너무 좋아용 꼭 사세요 다들 머무너무 이쁘네용 굿
2021.06.13,어떤 옷이든 잘어울리는거 같아요 가성비 완전 좋아요
2021.05.12,생각보다 작네요. 그래도 엄청 작지는 않아서 많이 메고 다닐 것 같긴해요.
2021.12.27,수납공간 넉넉하고 디자인도 이뻐서 메고다니기 좋음
2021.12.22,제가 키에비해 골격이 큰편이라 좀 작긴한데 수납자체는 널널해요 15인치 노트북 들어가고 전공책 3-4권은 넣는듯
2021.12.22,핏도 괜찮고 재질이며 사이즈 모두 나쁘지 않습니다
2021.12.10,"일단 예뻐요! (막 배송왔을때 찍었던 사진이라 살짝 뻣뻣한데 지금은 모양이 좀 잡혀서 더 이뻐요.)

키 159기준 가방 크기는 적당하지만 가방 조절끈이 살짝 위쪽에 있을 수 있어요.(사진첨부)
지퍼색이 신경쓰일 줄 알았는데 그런거보다 가방 무게가 쪼오오금 무거웠어요. 그리고 수납이 잘 되긴하지만 한칸 정도 더 있으면 하는 아쉬움이 남았어요. 그래도 텀블러는 옆에 잘 넣고 다닐 수 있어서 좋아요.

아 근데 인기 많은 가방인 만큼 지하철 탈 때 자주 보여서 의도치 않은 커플템이 되어버릴수도,,,??"
2021.12.08,예쁘고 수납공간 넉넉해서 좋은거 같아요. 만족합니다.
2021.11.07,역시나 예쁘고 배송이 너무 빨라용 좋아요 ㅎㅎ 절대 후회 안함
2021.09.26,너무 좋아용 꼭 사세요 다들 머무너무 이쁘네용 굿
2021.06.13,어떤 옷이든 잘어울리는거 같아요 가성비 완전 좋아요
2021.05.12,생각보다 작네요. 그래도 엄청 작지는 않아서 많이 메고 다닐 것 같긴해요.
2022.04.03,수납공간 매우 넉넉하구요. 어깨가 아프지도 않아요. 유용하게 잘쓰고 있습니다.
2022.04.01,윗부분은 천으로 되어있고 아랫부분은 가죽으로 되어있어요
2022.03.29,"깔꼼한 가방 사고 싶어서 샀어요! 노트북, 아이패드 널널하게 들어가고 수납 공간 많아서 좋아요"
2022.03.23,"깔끔하고 예뻐요 웬만한 책이랑 아이패드, 노트북은 다 들어가요"
2022.03.23,수납 공간 넉넉하고 심플해서 코디 매치하기 쉬워요!
2022.03.16,깔끔하고 무난해용 다만 수납할 공간이 여러개면 더 좋았을듯
2022.03.15,조금 작은 감이 없지 않아 있지만 예쁘 가방입니다!
2022.03.12,생각햇던거처럼 이뻐용 심플 이즈더 베스트 실망시키지 않네요 칼하트
2022.03.10,가방 사이즈가 적당한 게 가장 맘에 들었습니다 디자인도 마찬가지고요
2022.03.08,생각했던 것보다 더 이쁘고 튼튼해요 넣을거 별로 없어서 수납은 상관없었는데 딱이에여
2022.02.28,동생 입학선물로 사줬어요! 수납공간도 넓고 이뻐요
2022.02.25,"전공책 6개는 거뜬히 들어가고 가방도 튼튼해요
가방 자체의 무게도 가벼워서 편하게 쓸수있어요"
2022.02.23,심플해서 좋고 가벼워서 오래 매고다녀도 어깨가 안아플거같아요!!
2022.01.16,"일단 예뻐요!

키 159기준 가방 크기는 적당하지만 가방 조절끈이 살짝 위쪽에 있을 수 있어요.(사진첨부)
지퍼색이 신경쓰일 줄 알았는데 그런거보다 가방 무게가 쪼오오금 무거웠어요. 그리고 수납이 잘 되긴하지만 한칸 정도 더 있으면 하는 아쉬움이 남았어요. 그래도 텀블러는 옆에 잘 넣고 다닐 수 있어서 좋아요.

아 근데 인기 많은 가방인 만큼 지하철 탈 때 자주 보여서 의도치 않은 커플템이 되어버릴수도,,,??"
2022.01.13,사이즈가 살짝 작은감이있지만 너무 예뻐요 뉴발거랑 고민했는데 싸고 훨 나으네요
2021.12.27,수납공간 넉넉하고 디자인도 예뻐서 들고 다니기 좋아요
2021.12.22,핏도 괜찮고 재질이며 사이즈 모두 나쁘지 않습니다
2021.12.16,튼튼하고 노트북공간도 따로있어 좋고 나머지 수납공간도 넉넉해서 좋아요
2021.12.03,용량은 생각보다 적어요. 각이 잘 잡혀있고 활용도 높은 포켓이 많아서 좋은거같아요
2021.12.02,딱 적당하고 예뻐요 크기도 생각했던 정도? 살짝 작나 싶다가도 뭐 이정도면 무난합니다 책가방이나 간단하게 여행갈 때 좋을거같아요
2021.12.01,제품 좋습니다. 튼튼하고 많이파세요 또사려고요
2021.11.16,기방이 가볍고 수납 공간도 필요한 곳에 넉넉히 있어요. 밑에 덧대어 놓은 부분이라고 해야하나 아무튼 바닥과 닿는 곳운 재질이 다른데정말 마음에 들어요. 아무데나 놓고 다녀도 금방 닦아낼 수 있어서 좋아요!
2021.11.14,"수납공간도 많고 평상시에 들고다니기 좋은
백팩!"
2021.11.07,역시나 예쁘고 배송이 너무 빨라용 좋아요 ㅎㅎ 절대 후회 안함
2021.11.06,가방이 너무 귀엽고 이뻐요 수납공간도 적절하고 너무마음에 들어요
2021.11.02,생각보다 크지않고 수납공간도 분리되어있어서 좋습니다
2021.10.26,배송 빨라요! 전체적으로 무난합니다! 안에 수납공간이 한칸 더 나눠져있었음 더 좋았을 거 같아요!
2021.10.23,수납공간도 많고 들고다니기 딱 좋은 가방입니다
2021.10.17,"너무 좋습니다~~
15인치 노트북도 잘 들어가요
이 크기 중에서는 제일 마음에 들어요
얼릉 사세여~"
2021.10.04,백팩이 필요해서 이것저것 보다가 칼하트가 제일 예쁘고 무난해서 시켰습니다 아주 맘에 들어요
2021.09.29,작을줄 알았는데 생각보다 공간이 넉넉해서 다행이예요
2021.09.26,너무좋아여작고기엽고 좋아요 동생이 고딩인데 사주니깐 넘 좋아해요
2021.06.19,너무 이뻐요 진짜 솔직히 브랜드 백팩 중에 디자인 갑인 듯 엄마도 자꾸 넘 예쁘다고 잘 샀다 그러세요 수납공간도 넉넉해서 든든합니다 고민 말고 구입하시길~~~
2021.06.13,나쁘지 않아요 완전 편하고 여름에 가을에 입어도 될거깉이요
2021.05.20,튼튼하구 크기도 적당해요! 데일리로 잘 매고 다닐 것 같아요
2021.05.12,생각보다 작네요. 그래도 엄청 작지는 않아서 많이 메고 다닐 것 같긴해요.
2021.05.06,배송박스가 찌그러져서 처음에 당황했으나 다행히 상품에는 이상이 없고 생각했던것보단 각이 딱 있는 느낌은 아니었어요! 그래도 무난히 마음에 들어서 잘 쓰고있습니다
2021.05.04,그냥 무난하고 평범한 검정색 가방이에요. 가벼워서 좋고 앞주머니도 두 개라 좋습니다!
2021.04.15,예전 가방이 낡아서 이번에 새로 샀는데 매우 만족하면서 사용중입니다.
2021.04.15,엄청 가볍고 방수되는 재질이라서 좋아요. 생각보다 수납공간이 적긴 한데 가방 맸을 때 거북이처럼 안 돼서 좋아요.
2021.09.29,작을줄 알았는데 생각보다 공간이 넉넉해서 다행이예요
2021.09.26,너무좋아여작고기엽고 좋아요 동생이 고딩인데 사주니깐 넘 좋아해요
2021.06.19,너무 이뻐요 진짜 솔직히 브랜드 백팩 중에 디자인 갑인 듯 엄마도 자꾸 넘 예쁘다고 잘 샀다 그러세요 수납공간도 넉넉해서 든든합니다 고민 말고 구입하시길~~~
2021.06.13,나쁘지 않아요 완전 편하고 여름에 가을에 입어도 될거깉이요
2021.05.20,튼튼하구 크기도 적당해요! 데일리로 잘 매고 다닐 것 같아요
