날짜,리뷰
2022.04.02,"고등학생 가방으로 쭈아요
많이 들어가고 가벼움
한 가지 단점이 있다면
학교에서 똑같은 가방 맨 사람 500명 만날 수 있음"
2022.03.28,사이즈가 넉넉한 가방 찾고 있었는데 정말 딱 맞는 가방입니다! 덤으로 색상도 예쁨~!
2022.03.26,이게 칼하트? 미군 후원 브랜드 근본 브랜드 carhart good so good
2022.03.26,예 나무이어요 엄청멋져요 되게 스타일리쉬해유
2022.03.22,"가방에 많이 들어가서 좋아요
대학원생인제 좋은 가방 샀습니다"
2022.03.17,칼하트만의 무드 너무 맘에 듭니다 클론템 아니라서 좋음
2022.03.15,"남자 85kg 착용시 맘ㅎ이 커보이지 않아요
끈을 최대한 늘려야 해요
앞 주머니 두개는 속에 넉넉하지 않아요
가방끈 튼튼하고 모양은 잘잡혀요"
2022.03.15,그냥 완전 이뻐요 가격부터 디자인 수납공간 완전짱!
2022.03.05,"가방을 보는것보다 착용하면 더 예뻐요
수납공간 적당하고 바닥 가죽부분이 튼튼하고 너무 가벼워서 좋습니다.
스타일도 무난해서 아무옷에나 소화가능합니다."
2022.03.05,무난 무난 기본 기본 고즈넉 고즈넉 무채색 무채색 짱 짱
2022.03.04,넉넉하지 않을까봐 걱정했는데 생각보다 되게 넓고 괜찮네요!
2022.03.02,여자 고딩에게 크기도 딱이고 디자인도 심플. 로고도 간단하여 예뻐요
2022.03.02,그냥 딱 깔끔하고 예뻐요 학교 갈때 들고 다닙니당
2022.03.02,생각한 것보다 약간 작은데 노트북 16인치까지 무난하게 잘 들어가는 것 같아요. 이쁘게 잘 쓰겠습니다
2022.03.02,고등학교 첫 등교 칼하트메고 고고 우리 딸램 가방으로 선택했어요 크지도 작지도 딱 정당히 아주 맘에 들어합니다 수납공간이 살짝 작은듯 하지만 또 들어갈건 다 들어간다는 세일할때 착한 가격으로 미리주문 오늘 새로운 마음 다잡고 첫발을 내딛었으니 앞으로 화이팅하는 맘으로 3년동안 잘 써보고 다른 가방으로 또 주문하고 싶네요
2022.02.28,백팩 이쁜거 찾다가 칼하트가 눈에 들어와서 샀는데 심플하게 이뻐요
2022.02.27,깔끔해요! 칼하트 제품답게 튼튼해서 (제가 질리지만 않는다면) 오래 쓸 것 같아요. 가방 사이즈가 예상이 안 가서 투박하게 클까봐 걱정했는데 사진에 보이다시피 적당합니다^.^ 전반적으로 만족스러운 구매였어요!
2022.02.24,가방이 너무 귀엽고 예쁜 것 같아요 칼하트 화이팅
2022.02.12,백팩치고 크지않아서 가볍게 들고다니디 좋아요
2022.02.10,책가방으로 쓰고있는데 깔끔한게 너무 예쁘고 내용물도 많이 들어가서 좋아용
2022.02.09,딸아이가 졸업/입학 선물했는대 좋아하고 만족하내요.
2022.02.05,가방이 디자인이랑 품질도 괜찮고 보기보다 안에도 넓어서 좋아요!
2022.02.03,수납 공간도 넉넉하고 밑부분도 코팅되어 있어서 잘 사용 할 수 있을 것 같아요
2022.01.29,"수납공간도 넉넉하고 가방도 진짜 튼튼해요!
크기도 적당해요"
2022.01.27,예쁘고 가벼워요! 짧은 여행용으로 샀는데 수납공간도 넉넉해서 좋아요
2021.12.26,"가방 잘 산것같아요 내용물도 많이 들어갈것 같고
캐주얼한 코디와 잘 어울릴것 같습니다"
2021.12.22,"가방이 이쁘긴한데 좀더컸으면좋겠어요.
역시 칼마틀라서 이뻐용"
2021.12.13,너무너무 잘 쓰고 있습니다 칼하트라 믿고 쓰고 넉넉하게 공간이 있는데 매보면 무섭지 않아요 ㅎㅎ
2021.12.04,예뻐요 막 들고 다니기 좋겠어요 데일리로 좋을 듯
2021.12.01,수납 공간도 많고 탄탄해서 좋아요! 활용도 높을 것 같습니다??
2021.11.27,"내부 하나하나 열어보면 분리된 수납 공간이 많아서 좋아요.
때 타도 잘 안 보일 거 같고 무엇보가 칼하트니까 내구성 걱정 놉!
사고 싶어서 2달 전에 찜해두고 잊고 있었는데 할인 많이 하길래 바로 질렀어요.
힙하게 책가방으로 매고 다니려규요
스트릿 패션부터 웬만한 캐쥬얼 룩에까지 다 잘 어울릴 것 같아요"
2021.11.22,사진 가방 메고 있는거에요.. 잘 안보이지만.. 수납 넉넉하고 좋아요 디자인도 깔끔무난합니당
2021.11.19,"여자친구 선물로 사줬는데
너무 좋아하네요
수납공간도 넓고 태블릿이나 노트북 들어가도 무리 없을 사이즈입니다."
2021.11.14,수납공간 넉넉하고 가방 이뻐요 낫베드임 에어팟 고리 없음
2021.10.25,"칼하트 가방이 핏이 좋고 핏도 예뻐서, 강추강추합니다"
2021.10.22,생각보다 엄청크지않아서 좋았습니다 모양이 예뻐요
2021.10.21,진짜 이뻐요 고민하지말고 사세요 백팩은 칼하트입니다!!
2021.10.18,"수납력도 진짜 좋아요 밑창은 좀 약한데
밑창 빼고 다 튼튼해요"
2021.09.28,동생한테 사줬는데 괜찮아보이네요 튼튼하고 예쁩니다
2021.09.25,"너무 작을까 걱정했는데 그렇게 작지는 않아요.
적당한거 같아요"
2021.09.17,스타일링이 너무 좋고 이뻐서 항상 사용합니다 좋아요
2021.09.16,너무 예쁘고 마음에 듭니다 잘 사용하고 있습니다
2021.08.12,가방끈 줄이고 늘리는게 엄청 빡빡하긴 한데 수납력 좋고 너무 이쁩니다 만족!
2021.08.10,가방 밑 면에 가죽처리 돼있어 모양 잘 잡힙니다 주머니 많아서 편해요
2021.06.23,이뻐서 오래동안 잘 쓸것같아요. 추천드리고싶어요
2021.06.08,칼하트 심플하니 너무 이쁘고 수납공간이 꽤 있어서 좋네요
2021.06.04,처음엔 좀 작아서 많이 아쉬웠는데 그냥저냥 나쁘지 않게 잘 매고다닙니다
2021.04.08,"생각 보다 약간 작은듯? 했지만
그래도 많이 넣고 다닐 생각은 아니라
괜찮은거 같습니다
할인가로 사는게 적당한것 같아요!"
2021.03.31,이쁩니다. 책이 아직 안들어가서 폼이 죽어있는데 좀 넣고 다니면 이쁠것 같네요
2021.03.23,가방이 크다고 들었는데 생각보다 가벼워요! 본체부분이랑 어깨끈부분? 박음질이 너무 튼튼해보여서 이거 하나만 믿고 샀습니다
2021.02.26,크기가 적당 해서 학원가방으로 잘사용하고 있어요
2021.02.25,편한데 예쁘기까지함 수납 공간 낭낭하고 좋아요
2021.02.20,"캐주얼한 룩에 아주 잘어울리는 가방인것 같아요!
대학생 같아보이고 좋습니다 ㅎㅎ"
2021.02.02,아기자기하고 이뿌네요 크기가 생각보다 작긴해요
2021.01.22,뜯었을때 별로 안 커서 후회했는데 메보니까 등딱지 같아요
2021.01.20,튼튼하고 모양 예쁘고 수납 넉넉합니다 아주 마음에 들어요 가방 장만하고 시펐는데 잘산 것 같아요
2020.12.05,안에 생각보다 넉넉하고 사진이랑 느낌 똑같습니다.
2020.12.03,제가 생각한 것보단 작네요 근데 무난무난하니 예쁨 책가방으로는 적당한 것 같아요 스트릿 캐주얼 이런 스타일이랑 잘 어울릴듯
2020.12.02,"디자인 진짜 예쁘네요
커버낫 사려다가 이거샀는데 잘산거같아요..."
2020.11.26,적당히 수납공간도 있고 괜찮은 것 같아요 낫밷인듯!
2022.04.03,"넘예뿌단!!!!!!글구 책진짜많이들어가요
근데 쫌 많이 흔함
하지만난괨찮아"
2022.03.22,칼하트 로고 이뻐요! 가방도 튼튼한것 같아요! 좋아용
2022.03.18,학교갈 때 매려고 산건데 넉넉하고 이뻐용 많이 파세요~~!~!!
2022.03.17,가방 바닥면이 가죽소재라 튼튼하고 아이패드나 노트북 따로 넣을 수 있는 공간도 있어요 가방이 커서 책이랑 소지품 많이 넣고 다닐 수 있어서 좋아요 가방 끈이 두꺼워서 어깨 안아프고 편해요
2022.03.15,가방 디자인이나 색감이나 딱 예상했던만큼이에요 굳이 한가지 단점을 뽑자면 가방무게가 좀 있다는정도?
2022.03.15,너무 색감이쁘구 재질도 좋네요 만족 또 만족합니다
2022.03.15,모든부분에서 전부 만족합니다 가격도 합리적이라고 생각해용
2022.03.13,"요즘 나오는 가방들보단 조금 작은 느낌이 있어요
그래도 무난하니 예뻐요"
2022.03.13,생각보다 많이 들어갑니다 근데 생각보다 흔해서 길 가다가 한 명쯤은 이 가방 매고있음
2022.03.12,너무 예쁘고 좋습니다~ 적극추천해요!! 가격만큼하는 것 같아요
2022.03.11,크기도 좋고 디자인도 심플하고 그냥 무난한 백팩이 사고 싶으면 딱인거 같아요
2022.03.10,가방 밑창 야무진 재질이라 좋구요 수납공간이 넓어서 가장 좋네요
2022.03.08,딱원하던 크기에 수납공간이었어요 조금 흔하지만 그만큼 무난하고 예쁜 듯
2022.03.08,역시 칼하트 백팩 넘 예쁩니다ㅎ 진짜 잘 쓰구 있어요. 짱
2022.03.07,딱 적당한 스탠다드 핏의 백팩 이에여 생각보다 많이 들어갑니다
2022.03.06,학교다니며 매고 다니기 편하고 가벼워 좋습니다
2022.03.06,학교 가방으로 적당한 사이즈이고 가볍고 예뻐요
2022.03.05,학교 가방으로 샀는데 수납공간이 알차서 좋아용
2022.03.05,"처음 받았을때는 너무 무난한가 고민했는데
물건을 넣어보고 가방을 착용해보니 가볍고, 무난해서 아무옷에는 잘 어울리고 마음에 듭니다"
