날짜,리뷰
2022.03.25,"학교 다닐때 쓰려고 샀어요
주머니는 몇개 없지만 깔끔하고 이쁘요"
2022.03.04,너무 이뻐요 수납은 살짝 아쉽긴한데 그래도 아이패드는 들어갑니다
2022.02.27,디자인 괜찮고 가볍고 노트북 16인치 들어가요
2021.09.12,가방 사이즈 적당하고 무난한 디자인이라서 들고 다니는데 부담 없고 좋습니다!
2021.09.05,전체적으로 아담한 사이즈에 깔끔한 디자인으로 맘에 들어요
2021.07.29,꽤나만족해요! 튼튼하고 작게만 보였는데 책도 잘 들어갑니당 그래도 수납공간은 좀 많았으면 하는 기분. ㅜㅜ
2021.07.04,깔끔하고 예쁩니다 만족스럽습니다. 검은색 예쁘네요
2021.04.23,크기도 적당하고 가벼워서 잘 메고 다닐 수 있을 것 같아요 !!
2021.02.26,크기도 적당해서 학원가방으로 잘쓰고있어요 좋네요
2021.02.19,정말 너무 딱 맞는 것 같아요 대학생되서 샀는데 너무 잘 산것 같습니당
2021.02.19,"가방이 생각보다 깊고 좀 빳빳해서 조금 실망함
그래도 이쁨"
2021.01.22,고냥 가성비로다가 깔끔저렴하게 쓰기 좋네요 동생건데 뺐고싶다
2020.12.22,칼하트 가방 처음 메보는데 좋은거같아요. 어깨끈이 생긴게 맘에 들어서 샀는데 앞으로 메도 목부분 답답한것도 없고 좋네요. 가방이 뻣뻣해서 물건 무겁게 안넣어도 모양 유지 잘 돼요.
2020.12.04,좀 작은거 빼곤 좋네요. 그래도 예쁜 제품 사서 기분이 좋아요!! 스타일 하기도 좋은거 같아요! 무난해서!
2020.11.26,초등학생때도 안써본 얇은 가방인데 대학생이라 나름 간쥐있게 사용중입니다
2020.10.29,여자친구가 부탁해서 사줬는데 귀여워서 이쁘네요
2020.10.15,생각보다는 작은데 귀여워요 ㅎㅎ 책한권정도 들어가요!!
2020.10.09,동생이 넉넉한수납공간이 필요한가방가지고싶었다는데 이거 구매했오오 이쁘고 좋데요
2020.08.19,"심플하고 멋지네요

종류가 여러개라서 고민했는데

가격과 수납공간이 적당해서 이 제품으로

구매하였읍니다^_^**"
2020.07.02,"수납 공간이 엄청 많지는 않지만
가방 없는것보단 나아용
맘에듬쓰 무넌 무난 ㅎㅎ"
2022.03.31,이쁩니다 그리고 마감도 좋아요 가격에 비해서 가성비 좋아요
2022.03.25,"학교 다닐때 쓰려고 샀어요
깔끔하고 이리이리이리뻐요"
2022.03.04,이뻐요 칼하트 감성 짱 좋아요 무겁지도 않고 가벼운게 좋은 거 같아요
2022.02.28,너무 작지도 너무 크지도 않은 제가 딱 원했던 크기의 백팩이에요
2022.02.27,디자인 괜찮고 가볍고 노트북 16인치 들어가요
2022.02.13,수납공간 적당하고 가벼워서 갖고 다니기 편할거 같아요.
2022.01.25,"떡 원하던거에요 수납공간도 안작고 좋아요
잘쓸거같아요"
2021.12.06,"대학생들이 들고 다니기 딱 좋은 스타일과 크기 같아요
패드와 노트북 넣는 칸도 따로 있어서 수납 시 좋습니다
블프때 쟁여두길 잘한거 같아요!!"
2021.11.26,편하게 가지고 다닐수있어요. 책가방으로 들기에도 좋아요
2021.09.23,학교 가방으로 무난하게 들고다니기 좋고 생각보다 수납하기 좋아요 그냥 검정이라 모든 면에서 무난하게 들고 다니기 좋아요
2021.09.12,사리즈도 괜찮고 무난하게 들고 다니기에 좋습니다!!
2021.09.04,무난하게 잘 사용할 수 있을거 같아요 맘에들어요 근데 수납공간이 적당한거 같으면서도 좀 부족한 느낌이랄까요..? 대학생이나 학생분들이 사용하시면 좋을거 같아요
2021.08.18,예쁨 근데 수납공간이 널널하진 않아요 두꺼운 책 3권정도 들어가면 꽉 차는 느낌 그래도 기본템이라 평소에 무난하게 들고 다니기 조음
2021.08.04,"대학생이 잘 매고 다닐 무난한 가방이예여
근ㄷ 막 튼튼하단 느낌은 안드네요"
2021.07.28,편하고 예뻐요! 딱 대학생 가방으로 제격입니다. 14인치 노트북 까진 무난하게 들어가요 책 두꺼운 거 기준 5권 까지도 가능해요.
2021.07.20,믿고 사는 칼하트 가방입니다. 색감좋고 수납공간 적당히 있어서 좋네요
2021.06.16,사이즈두넉넉하구 디자인도 너무깔끔허이 이뻐여
2021.04.22,귀엽고 예쁘고 데일리로 쓰기 아주아주 좋습니다~~~
2021.04.07,검정 백팩으로 좋아요 사이즈가 작다고 해서 살짝 걱정했는데 생각보다 넉넉하고 노트북이랑 책 넣고 다니기에 좋아요
2021.03.01,생일 선물로 구매했는데 정말 색감과 디자인 맘에 듭니다~^^
2021.02.28,수납은 별로 없는데 가볍고 그냥 매고 다니기 좋음
2021.02.26,크기가 적당해서 학원가방으로 잘 쓰고 있어요 잘산것같아요
2021.02.23,"지퍼가 생각보다 많이 퍽퍽함
가방이 생각보다 깊음"
2021.02.20,브라운 사서 오래 매다가 블랙 하나삿어요~~역시 너무 예쁩니당ㅎㅎ
2021.02.19,가방이 좀 납작한것만 빼면 심플하고 귀엽네요 이뻐요
2021.02.18,색상이 진하고 생각보다 작지도 크지도 않네요 딱 적당합니다
2021.02.17,후기에서 크기가 별로 안크다고해서 그거 감안하고 주문했는데 크기는 적당하니 좋아요. 그리고 안쪽에 수납 공간도 잘 되어있어서 잘 쓸거 같습니다.
2021.02.16,생각보다 이쁘고 깔끔해서 좋아요. 작다고 생각했는데 가방끈 늘려보니 적당했어요.
2021.02.15,색깔도 마음에 들고 수납공간도 넉넉해서 좋은 것 같아요
2021.02.13,"아주 만족합니다. 기본 스타일을 좋아합니다.
적극 추천합니다."
2022.03.31,마감이 꼼꼼하고 좋습니다 완전 편하게 쓸듯해요
2022.03.20,"수납 안 쪽에 하나 인줄 알고 살짝 실망했는데
귀엽게 하나 더 숨어있네요 ㅋㅋ
디자인은 말할 거 없구요 만족합니다"
2022.03.10,동생 사줬는데 맘에 들어 하네요 깔끔하고 그렇게 크지도 않아서 딱 좋아요~
2022.03.08,조금 작은 가방이 필요해서 주문했어요. 무난합니다
2022.03.06,착용감 너무 좋고요 작을까봐 걱정했는데 작은 느낌 안듭니다 만족해요!
2022.03.04,백팩 필요해서 샀는데 무난무난 적당해요 별로 안 무거워요
2022.02.28,진짜 예뻐요 가성비로 잘 쓸수 있을거 같아요 꼭 사세여
2022.02.27,디자인 괜찮고 가볍고 노트북 16인치 들어가요
2022.02.24,크지도 않고 작지도 않은 완전 평범한데 예쁜 가방
2022.02.17,확실히 칼하트라서 이쁘네요 잘 쓰고 있습니다잇
2022.02.13,수납공간 적당하고 로고도 작고 예쁘니 괜찮네요.
2022.02.11,확실히 수납 공간이 다른 백팩에 비해 적네요 ㅎ 하지만 예뻐요
2022.02.09,질만 들면 너무 후줄근하게 이쁠 것 같아요 역시 칼핱
2022.02.08,"가볍고
편해요
군더더기없이깔끔하고
사용하기편하게되어있어요"
2022.02.07,가방 깔끔하고 예뻐요 생각보다 많이 안 들어갈 거 같긴 하지만 이정도면 대학생 가방으로 적당하다 생각합니당
2022.02.03,크기 적당하고 편하게 들고 다닐 수 있어서 좋아요
2022.01.27,그냥 무난하게 매고 다닐 수 있는 가방 같네요 좋습니다
2022.01.25,가방 큰거 쓰다 이거 쓰니까 좀 작은검이 없지않아 있긴한데 수납공가은 넉넉하고 좋아요
2022.01.02,오래 쓰던 가방이 낡아져 새로 주문했는데 인기 있는 이유가 있네요. 아주 크지도 않고 딱 좋습니다.
2021.12.22,가장 기본적이고 클래식한 디자인이고 데일리하게 잘 매고다녀요
2021.11.30,화면이랑 똑같고 아주아주 만족합니다 감사합니다
2021.11.28,진짜 흔하지 않아용 또 칼하트만의 브라운색도 진짜 이뻐요ㅜㅜ잘 들고 다닐게용
2021.11.15,가방 없어서 이뻐서 샀는데 후회안하고 너무이쁘네요
2021.11.09,완전 마음에 들어요 앞주머니 지퍼가 1개인게 조금 불편하긴해요ㅎㅎ
2021.10.17,생각했던 것 보다 작지만 수납공간은 적당하고 다른부분도 좋습니다
2021.10.02,"휴대하기 좋습니다
가방이 무겁지 않고 너무 좋네요"
2021.09.15,수납공간 넉넉해서 좋아요 ! 디자인도 예뻐서 좋아요 !
2021.09.12,가방 사이즈 적당하고 무난한 디자인이라서 들고 다니는데 부담 없고 좋습니다!
2021.09.01,사이즈가 약간 작지만 스타일용은 좋아요 가방도 편힌게 잘 만든듯
2021.09.01,"노트북 넣을 수 있는 공간도 있어 좋구요
사이즈 딱 적당하고 좋아요"
2021.08.31,상품 좋습니다. 일할때 입고있는데 크지도 않고 여름에 잘 입었습니다.
2021.08.30,수납 공간조 넉넉하고 무개도 가볍고 생각보다 괜찮다고 생각ㅎㅐ요
2021.08.29,"디자인도 색도 다 만족하는데,
고등학생이 들고다니기엔 좀 작아요.
그래도 줄여서 잘 사용하고 있습니다."
2021.08.17,수납공간 전공책 한 2~3개 정도 넣으면 꽉차는 느낌 가방끈 좀 늘려야 됨 안늘리면 거북이같음 ㅋㅋ
2021.08.05,기대한 것만큼 크진 않지만 그래도 꽤 많이 들어갑니다!!
2021.08.05,무난하게 괜찮아요 ~ 남친 선물로 사줘ㅆ어요!! 남자친구도 좋아했어요 20대초에요
2021.07.23,"생각이상으로 배송도 빨리오고, 수납공간도 많고,
안에 짐 넣었을 처지는 느낌도 없어서 좋아요"
2021.07.17,대학생 백팩으로 제격이에요 남자분들은 좀 작을 듯 여자 사이즈로 딱이에요 노트북 14인치까진 잘 들어갑니당
2021.07.14,남자가 들기엔 좀 작은 거 같아요 여자가 매면 사이즈 딱 맞아요 크지도 않고 수납 공간이 많은 편은 아니에요
2021.07.10,생각보다 수납공간이 크진 않더라구요.그래도 평상시 책 넣고 다니는 정도는 되는 것 같아 만족합니다
2021.07.04,그냥 편하게 들고 다니기 좋아요 딱 붙는게 마음에 들어요
2021.06.23,"음 생각한 것보다는 작았어요..
제가 넘 퉁퉁했던 탓인가 ㅎㅎ"
2021.06.23,선물용으로 샀는데 완전 마음에 들어합니다 추천이오
2021.06.22,디자인이랑 크기나 다 정말 딱 예쁘고 가볍게 들고 다니기 좋고 수납도 만족스러워요
