날짜,리뷰
2022.04.02,수납 공간 널널하고 좋아요! 단지 주머니가 한개 밖에 없어서 아쉬워요
2022.03.28,가격에 비해서 퀄은 걍 그래요 얇고 수납공간도 두개뿐이고... 다른데서파는 싼 무지 백팩 같아요
2022.03.23,지퍼 부분이 좀 걸리긴한데 그거 빼고는 괜찮습니다
2022.03.20,"노트북 자리가 없어서 아쉬웠지만
예뻐서 매고 다닙니다"
2022.03.20,디자인 넘넘 예뻐요♡ 근데 생각보다 지퍼가 뻣뻣했어요 ㅠㅠ 그거 빼고는 다 만족해용
2022.03.18,전투용으로 매기 좋아요. 크기는 적당합니다 딱 맞아요
2022.03.17,무난하고 심플한 디자인이 학교가방으로 쓰기 좋아요
2022.03.15,크기도 적당하고 대학생용으로 좋네요. 생각보다 많이 들어가요
2022.03.08,전에 쓰던 가방이 색이 하얘줘서 샀는데 너무 만족하고 쓰는중.
2022.03.08,동생 새학기 선물로 사줬어요 맘에 들어하네요 수납공간이 그닥 많지 않고 밑에 판도 없지만 이쁘고 가볍게 메기 좋네요
2022.03.07,"사이즈도 크지않고 서브 백으로 좋아요.
로고도 튀지 않고 재질이 빳빳해서 각도 잘 잡힙니다."
2022.03.01,살짝 작은감이 없잖아 있지만 가방 귀엽고 이쁘네요
2022.02.22,크기가 작아서 그렇지 다른 건 다 좋은 거 같아요 근데 남자한테는 매우 작아서 문제...
2022.02.21,편하고 수납공간이 넉넉해서 아주 좋으네요 굿 굿
2022.02.16,"가방 가볍고 튼튼한 재질이라 진짜 맘에 들어요 심플하고 유행 안탈 것 같아서 그게 최고 ,,,"
2022.02.16,"수납공간이 너무적어요.
근데 깔끔해맘에든다네요"
2022.02.07,무난하고 좋네요 수납공간은 많지는 않은데 딱 적당해요 가벼움
2021.12.14,생각보다 안에 들어갈수있는 폭이 커서 좋았습니다
2021.11.14,가방은 조금 작은사이즈지만 귀엽고 예뻐요 심플해서 좋아요
2021.11.13,한달넘게 사용하고 있는중인데 사길 잘 한거 같아염
2021.10.30,"너무 크지도 않고 너무 작지도 않고 적당해요
노트북 넣어 다니려면 좀 작은거 같은데 그 외에는 괜찮아요"
2021.10.28,그냥 기본 백팩 근데 볼륨감이 없는건 진짜 치명적인 단점
2021.10.27,귀여움. 근데 노트북이랑 아이패드 넣으면 꽉 차여
2021.10.26,사진이랑 똑같고 귀여워요 스쿨룩으로 딱 좋은거가타용
2021.10.19,가볍게 노트북하나 아이패드하나 전공서 한두개 들고 다니기 짱이에요 소재도 짱짱하고 이뻐용
2021.10.17,"가방이가볍고 편합니다
많이 들어가고 좋습니다"
2021.10.17,옹아앙 너무 좋아용오유옹오오옹옹ㅇ오옹옹ㅇㅇ오오옹오오옹ㅇ
2021.10.16,각져있어서 너무 예뻐요 불필요한 수납 공간도 없어서 좋구요
2021.10.15,"너무 큰 가방 원하지 않았는데 딱 적당한 백팩이에요 어디에나 잘 어울릴것같아요
수납공간도 간결하게 두개만 있어서 이것저것 담기 편하네요
출근할때, 놀러다닐때 아무때나 무난합니다"
2021.10.13,작을까봐 걱정했는데 생각보다 그렇게 작진않아요 그렇다고 크지도 않아여 ㅋ
2021.10.13,노트북이랑 전공책도 다 들어가고 좋아요! 근데 수납공간이 부족함
2021.10.05,"중학생 학원가방으로 샀어요
아들도 맘에 들어해요"
2021.09.28,깔끔하고 세련된 느낌입니다. 수납공간도 적당해서 부담없네요.
2021.09.19,후기에서 작을 것이라고 해서 인지하고 있었는데 그정도는 아닙니다
2021.09.18,뒤로 매고 찍으면 좋을텐데 찍어줄 사람이 없어서 앞판찍어요!!
2021.09.08,"가볍게 들고다니기 좋아요

수납공간이 많지는 않아요"
2021.09.02,책 여러권 들어가고 크기가 적당히 괜찮은거 같아
2021.08.24,가볍게 챙겨서 나갈때 좋아요 수납공간이 여러개가 아니여서 편해요 가방자체가 가벼워서 좋은거같아용
