날짜,언급량
2021-05-09,39.52926
2021-05-16,342.42603
2021-05-23,321.90702
2021-05-30,324.07962
2021-06-06,319.61373
2021-06-13,331.92513
2021-06-20,308.14722
2021-06-27,275.6789
2021-07-04,275.73926
2021-07-11,280.14481
2021-07-18,304.46587
2021-07-25,269.76461
2021-08-01,236.08927
2021-08-08,210.44052
2021-08-15,185.87806
2021-08-22,211.58717
2021-08-29,231.01987
2021-09-05,244.59863
2021-09-12,282.67951
2021-09-19,241.33975
2021-09-26,206.57812
2021-10-03,259.8672
2021-10-10,236.08928
2021-10-17,256.30654
2021-10-24,276.10136
2021-10-31,263.54856
2021-11-07,265.78151
2021-11-14,263.12611
2021-11-21,249.12489
2021-11-28,274.35121
2021-12-05,258.9016
2021-12-12,215.38922
2021-12-19,222.26912
2021-12-26,194.80986
2022-01-02,179.78271
2022-01-09,187.32646
2022-01-16,185.03317
2022-01-23,172.6614
2022-01-30,175.01506
2022-02-06,147.37474
2022-02-13,199.69822
2022-02-20,171.33372
2022-02-27,176.52381
2022-03-06,205.97462
2022-03-13,255.76339
2022-03-20,432.83039
2022-03-27,297.64632
2022-04-03,283.58476
2022-04-10,307.78512
2022-04-17,335.96858
2022-04-24,251.7803
