날짜,언급량
2021-05-09,3.22698
2021-05-16,33.1996
2021-05-23,31.83224
2021-05-30,32.52503
2021-06-06,32.19686
2021-06-13,33.41837
2021-06-20,29.99084
2021-06-27,30.22786
2021-07-04,29.57152
2021-07-11,29.91791
2021-07-18,31.55876
2021-07-25,28.42294
2021-08-01,27.73013
2021-08-08,26.89147
2021-08-15,25.08657
2021-08-22,29.04281
2021-08-29,30.68365
2021-09-05,29.31627
2021-09-12,29.89969
2021-09-19,27.73014
2021-09-26,23.48219
2021-10-03,31.32175
2021-10-10,30.39195
2021-10-17,32.19686
2021-10-24,36.49951
2021-10-31,32.2151
2021-11-07,30.20963
2021-11-14,31.68637
2021-11-21,30.46489
2021-11-28,31.44938
2021-12-05,31.68638
2021-12-12,30.68364
2021-12-19,29.27981
2021-12-26,27.20142
2022-01-02,23.31811
2022-01-09,28.09477
2022-01-16,33.80124
2022-01-23,28.73288
2022-01-30,25.06833
2022-02-06,23.26342
2022-02-13,30.51955
2022-02-20,31.26707
2022-02-27,28.7511
2022-03-06,27.00087
2022-03-13,27.21965
2022-03-20,31.77754
2022-03-27,29.04281
2022-04-03,29.77208
2022-04-10,32.36096
2022-04-17,34.03825
2022-04-24,30.64719
