날짜,언급량
2021-05-09,2.04193
2021-05-16,21.4038
2021-05-23,19.9088
2021-05-30,21.95075
2021-06-06,21.0574
2021-06-13,22.29715
2021-06-20,20.38282
2021-06-27,18.52321
2021-07-04,17.75748
2021-07-11,18.97901
2021-07-18,17.39286
2021-07-25,16.82768
2021-08-01,17.31993
2021-08-08,16.24428
2021-08-15,17.42932
2021-08-22,18.0492
2021-08-29,19.54416
2021-09-05,20.47398
2021-09-12,20.82038
2021-09-19,21.03916
2021-09-26,16.04372
2021-10-03,20.91155
2021-10-10,20.83862
2021-10-17,19.67179
2021-10-24,20.98447
2021-10-31,20.47399
2021-11-07,19.52594
2021-11-14,20.0729
2021-11-21,21.11209
2021-11-28,19.0884
2021-12-05,19.70827
2021-12-12,19.05193
2021-12-19,18.46852
2021-12-26,16.13488
2022-01-02,16.80946
2022-01-09,18.24975
2022-01-16,19.48948
2022-01-23,18.12211
2022-01-30,17.46579
2022-02-06,14.9316
2022-02-13,18.08565
2022-02-20,19.28893
2022-02-27,19.10662
2022-03-06,18.15858
2022-03-13,19.05193
2022-03-20,24.7584
2022-03-27,24.75839
2022-04-03,22.37007
2022-04-10,24.15675
2022-04-17,24.95893
2022-04-24,22.53416
