날짜,언급량
2021-05-09,44.44444
2021-05-16,365.66383
2021-05-23,306.05691
2021-05-30,298.39546
2021-06-06,300.46125
2021-06-13,302.66745
2021-06-20,281.5483
2021-06-27,302.08581
2021-07-04,274.98993
2021-07-11,301.48411
2021-07-18,287.44481
2021-07-25,296.14918
2021-08-01,267.06775
2021-08-08,268.85277
2021-08-15,298.97709
2021-08-22,308.24303
2021-08-29,312.33451
2021-09-05,342.07779
2021-09-12,385.37902
2021-09-19,436.42195
2021-09-26,473.10465
2021-10-03,435.15841
2021-10-10,427.39668
2021-10-17,360.48933
2021-10-24,341.83711
2021-10-31,341.93738
2021-11-07,337.70554
2021-11-14,352.54711
2021-11-21,354.31204
2021-11-28,374.42836
2021-12-05,426.95544
2021-12-12,478.49976
2021-12-19,507.24024
2021-12-26,601.06295
2022-01-02,406.91936
2022-01-09,351.50418
2022-01-16,349.75928
2022-01-23,374.68909
2022-01-30,393.94301
2022-02-06,320.89848
2022-02-13,338.44761
2022-02-20,342.96025
2022-02-27,326.73481
2022-03-06,265.66383
2022-03-13,311.59242
2022-03-20,307.82187
2022-03-27,290.27273
2022-04-03,285.11829
2022-04-10,279.38225
2022-04-17,317.40871
2022-04-24,256.7589
