날짜,언급량
2021-05-09,4.24794
2021-05-16,41.62256
2021-05-23,38.79668
2021-05-30,41.42202
2021-06-06,54.67635
2021-06-13,42.77117
2021-06-20,40.96623
2021-06-27,39.12486
2021-07-04,41.16679
2021-07-11,42.62532
2021-07-18,40.69277
2021-07-25,41.78666
2021-08-01,39.47126
2021-08-08,42.58884
2021-08-15,44.55784
2021-08-22,45.52411
2021-08-29,50.24609
2021-09-05,45.19596
2021-09-12,43.40927
2021-09-19,39.54417
2021-09-26,34.40289
2021-10-03,42.15129
2021-10-10,39.25248
2021-10-17,40.69276
2021-10-24,38.46851
2021-10-31,38.19505
2021-11-07,38.15858
2021-11-14,37.9398
2021-11-21,37.35639
2021-11-28,38.55967
2021-12-05,36.6636
2021-12-12,39.45301
2021-12-19,38.41382
2021-12-26,37.70278
2022-01-02,40.27344
2022-01-09,43.31811
2022-01-16,43.28165
2022-01-23,41.91429
2022-01-30,41.16678
2022-02-06,37.92157
2022-02-13,52.39741
2022-02-20,49.60798
2022-02-27,50.19141
2022-03-06,44.7584
2022-03-13,43.91973
2022-03-20,47.40196
2022-03-27,173.98356
2022-04-03,93.1996
2022-04-10,57.08292
2022-04-17,44.2479
2022-04-24,49.608
