날짜,언급량
2021-05-09,23.84685
2021-05-16,190.17317
2021-05-23,181.1121
2021-05-30,204.1932
2021-06-06,284.15675
2021-06-13,239.81763
2021-06-20,232.68911
2021-06-27,223.93797
2021-07-04,236.64537
2021-07-11,246.83679
2021-07-18,238.17681
2021-07-25,221.93251
2021-08-01,203.44572
2021-08-08,204.26616
2021-08-15,216.33542
2021-08-22,232.67089
2021-08-29,242.20598
2021-09-05,228.78756
2021-09-12,212.57973
2021-09-19,192.67087
2021-09-26,175.67908
2021-10-03,198.32265
2021-10-10,185.28711
2021-10-17,181.44025
2021-10-24,157.19229
2021-10-31,155.53324
2021-11-07,154.5305
2021-11-14,151.54053
2021-11-21,147.60252
2021-11-28,137.53871
2021-12-05,136.40836
2021-12-12,137.61164
2021-12-19,130.61072
2021-12-26,130.35547
2022-01-02,130.99359
2022-01-09,147.2379
2022-01-16,153.03551
2022-01-23,144.63078
2022-01-30,135.6791
2022-02-06,139.78118
2022-02-13,153.21784
2022-02-20,155.15038
2022-02-27,165.1048
2022-03-06,165.08656
2022-03-13,166.07108
2022-03-20,174.49405
2022-03-27,174.71282
2022-04-03,169.75384
2022-04-10,167.20142
2022-04-17,186.58155
2022-04-24,185.34181
