날짜,언급량
2021-05-09,57.88514
2021-05-16,318.76021
2021-05-23,298.55968
2021-05-30,286.65449
2021-06-06,303.91975
2021-06-13,288.04009
2021-06-20,284.01091
2021-06-27,274.84044
2021-07-04,297.50224
2021-07-11,290.33724
2021-07-18,290.90241
2021-07-25,285.81583
2021-08-01,275.05921
2021-08-08,305.30534
2021-08-15,326.18045
2021-08-22,317.15585
2021-08-29,309.02457
2021-09-05,305.17772
2021-09-12,310.86595
2021-09-19,296.22603
2021-09-26,358.97899
2021-10-03,337.13762
2021-10-10,340.47399
2021-10-17,301.98721
2021-10-24,288.96988
2021-10-31,290.10023
2021-11-07,294.85868
2021-11-14,293.34544
2021-11-21,292.47034
2021-11-28,276.59067
2021-12-05,296.13487
2021-12-12,330.17316
2021-12-19,325.99814
2021-12-26,340.87508
2022-01-02,338.77845
2022-01-09,385.41472
2022-01-16,391.90516
2022-01-23,394.89513
2022-01-30,405.03186
2022-02-06,574.65813
2022-02-13,438.52321
2022-02-20,417.77572
2022-02-27,413.50953
2022-03-06,393.1996
2022-03-13,326.25339
2022-03-20,312.37918
2022-03-27,287.71191
2022-04-03,294.89515
2022-04-10,281.64081
2022-04-17,295.60616
2022-04-24,242.68002
