날짜,언급량
2021-05-09,33.49426
2021-05-16,232.16652
2021-05-23,256.00477
2021-05-30,241.33972
2021-06-06,268.61796
2021-06-13,250.63362
2021-06-20,276.94625
2021-06-27,262.94503
2021-07-04,302.71571
2021-07-11,266.38498
2021-07-18,276.22205
2021-07-25,263.72958
2021-08-01,229.69217
2021-08-08,220.70002
2021-08-15,220.45862
2021-08-22,215.26852
2021-08-29,237.59802
2021-09-05,225.34697
2021-09-12,211.64752
2021-09-19,198.49122
2021-09-26,208.38862
2021-10-03,212.31137
2021-10-10,192.81832
2021-10-17,198.67227
2021-10-24,196.13757
2021-10-31,183.88652
2021-11-07,176.88592
2021-11-14,194.14602
2021-11-21,167.10922
2021-11-28,174.10982
2021-12-05,187.92997
2021-12-12,181.23112
2021-12-19,185.63667
2021-12-26,169.64391
2022-01-02,182.55882
2022-01-09,196.31862
2022-01-16,200.36207
2022-01-23,191.91307
2022-01-30,189.86117
2022-02-06,226.43328
2022-02-13,189.92152
2022-02-20,193.42182
2022-02-27,186.48157
2022-03-06,188.71453
2022-03-13,226.31258
2022-03-20,235.12368
2022-03-27,193.90462
2022-04-03,261.3156
2022-04-10,228.48518
2022-04-17,228.90763
2022-04-24,209.11281
