날짜,언급량
2021-05-09,0.08048
2021-05-16,0.61913
2021-05-23,0.76806
2021-05-30,0.76489
2021-06-06,0.68568
2021-06-13,0.7516
2021-06-20,0.75983
2021-06-27,0.74778
2021-07-04,0.52787
2021-07-11,0.72369
2021-07-18,0.86122
2021-07-25,0.75095
2021-08-01,0.50062
2021-08-08,0.54435
2021-08-15,0.46956
2021-08-22,4.16749
2021-08-29,45.72598
2021-09-05,91.23081
2021-09-12,100.35169
2021-09-19,93.43753
2021-09-26,61.16972
2021-10-03,51.68698
2021-10-10,57.06179
2021-10-17,62.68882
2021-10-24,51.24084
2021-10-31,95.72092
2021-11-07,254.32909
2021-11-14,163.73893
2021-11-21,84.65317
2021-11-28,59.3192
2021-12-05,42.23721
2021-12-12,33.11254
2021-12-19,39.96458
2021-12-26,27.56155
2022-01-02,34.05746
2022-01-09,25.6109
2022-01-16,21.13537
2022-01-23,57.94841
2022-01-30,43.13142
2022-02-06,44.23669
2022-02-13,30.28287
2022-02-20,33.97698
2022-02-27,18.64032
2022-03-06,20.48896
2022-03-13,66.56416
2022-03-20,25.69328
2022-03-27,13.03802
2022-04-03,11.33704
2022-04-10,15.4754
2022-04-17,10.61774
2022-04-24,7.50416
