날짜,언급량
2021-05-09,0.02091
2021-05-16,0.18755
2021-05-23,0.13114
2021-05-30,0.15587
2021-06-06,0.15778
2021-06-13,0.16411
2021-06-20,0.16981
2021-06-27,0.17236
2021-07-04,0.17362
2021-07-11,0.15332
2021-07-18,0.15522
2021-07-25,0.12798
2021-08-01,0.15712
2021-08-08,0.17806
2021-08-15,0.17044
2021-08-22,0.16473
2021-08-29,0.17171
2021-09-05,0.13622
2021-09-12,0.17994
2021-09-19,0.17234
2021-09-26,0.14699
2021-10-03,0.18312
2021-10-10,0.17297
2021-10-17,0.15587
2021-10-24,0.16347
2021-10-31,0.1603
2021-11-07,0.15713
2021-11-14,0.1565
2021-11-21,0.19388
2021-11-28,0.16728
2021-12-05,0.13241
2021-12-12,0.14446
2021-12-19,0.13368
2021-12-26,0.14128
2022-01-02,0.17615
2022-01-09,0.20403
2022-01-16,0.17931
2022-01-23,0.16665
2022-01-30,0.15016
2022-02-06,0.16346
2022-02-13,0.16727
2022-02-20,0.17108
2022-02-27,0.16854
2022-03-06,0.15776
2022-03-13,0.15142
2022-03-20,0.17677
2022-03-27,0.15332
2022-04-03,0.166
2022-04-10,0.13306
2022-04-17,0.15585
2022-04-24,0.14002
