날짜,언급량
2021-05-09,3.53246
2021-05-16,3.46592
2021-05-23,3.43424
2021-05-30,3.2967
2021-06-06,3.47352
2021-06-13,3.3246
2021-06-20,2.88604
2021-06-27,2.91076
2021-07-04,2.90569
2021-07-11,3.20419
2021-07-18,2.86514
2021-07-25,2.51784
2021-08-01,2.2599
2021-08-08,2.00704
2021-08-15,2.15534
2021-08-22,2.44179
2021-08-29,2.48805
2021-09-05,2.94562
2021-09-12,2.66107
2021-09-19,2.03619
2021-09-26,2.77894
2021-10-03,2.47348
2021-10-10,2.63254
2021-10-17,2.89872
2021-10-24,2.7954
2021-10-31,2.82014
2021-11-07,2.77261
2021-11-14,2.61733
2021-11-21,2.83535
2021-11-28,2.70353
2021-12-05,2.34482
2021-12-12,2.35117
2021-12-19,2.07042
2021-12-26,1.90754
2022-01-02,1.92593
2022-01-09,1.97724
2022-01-16,1.83403
2022-01-23,1.89423
2022-01-30,1.45821
2022-02-06,2.06282
2022-02-13,1.84099
2022-02-20,1.83403
2022-02-27,2.09575
2022-03-06,2.60592
2022-03-13,4.40006
2022-03-20,3.2758
2022-03-27,3.01216
2022-04-03,3.1706
2022-04-10,3.55401
2022-04-17,3.03372
