날짜,언급량
2021-05-09,32.96259
2021-05-16,31.70462
2021-05-23,32.83497
2021-05-30,31.70461
2021-06-06,34.36641
2021-06-13,30.33724
2021-06-20,29.91792
2021-06-27,29.57152
2021-07-04,29.88145
2021-07-11,31.04827
2021-07-18,28.78757
2021-07-25,27.74837
2021-08-01,26.94616
2021-08-08,25.34181
2021-08-15,28.62349
2021-08-22,30.20963
2021-08-29,30.0273
2021-09-05,29.58975
2021-09-12,28.40471
2021-09-19,22.42476
2021-09-26,31.59522
2021-10-03,30.84774
2021-10-10,30.88419
2021-10-17,36.80944
2021-10-24,32.76205
2021-10-31,30.30079
2021-11-07,31.81399
2021-11-14,30.37373
2021-11-21,31.21237
2021-11-28,31.72284
2021-12-05,30.92065
2021-12-12,29.18866
2021-12-19,27.82129
2021-12-26,23.4275
2022-01-02,27.93068
2022-01-09,32.67089
2022-01-16,29.69915
2022-01-23,25.56058
2022-01-30,22.75294
2022-02-06,30.6654
2022-02-13,31.04829
2022-02-20,28.64171
2022-02-27,26.92795
2022-03-06,26.41746
2022-03-13,32.10571
2022-03-20,30.00908
2022-03-27,29.48037
2022-04-03,31.99633
2022-04-10,33.67362
2022-04-17,34.22057
