날짜,언급량
2021-05-09,21.29441
2021-05-16,19.65356
2021-05-23,22.0966
2021-05-30,21.16679
2021-06-06,22.07837
2021-06-13,20.80215
2021-06-20,18.08565
2021-06-27,18.19504
2021-07-04,19.01547
2021-07-11,17.48402
2021-07-18,16.62713
2021-07-25,17.46579
2021-08-01,16.20781
2021-08-08,17.52048
2021-08-15,17.81219
2021-08-22,19.12484
2021-08-29,20.948
2021-09-05,20.91153
2021-09-12,21.11209
2021-09-19,15.35092
2021-09-26,21.58612
2021-10-03,20.78392
2021-10-10,19.38009
2021-10-17,20.74746
2021-10-24,20.47399
2021-10-31,19.81764
2021-11-07,20.1276
2021-11-14,21.47672
2021-11-21,18.63261
2021-11-28,19.45303
2021-12-05,19.3254
2021-12-12,18.43206
2021-12-19,16.66359
2021-12-26,16.33544
2022-01-02,18.26798
2022-01-09,19.3801
2022-01-16,18.37735
2022-01-23,18.06743
2022-01-30,14.22057
2022-02-06,18.17681
2022-02-13,18.70552
2022-02-20,19.50771
2022-02-27,18.19504
2022-03-06,19.0337
2022-03-13,24.28438
2022-03-20,24.46669
2022-03-27,22.7347
2022-04-03,23.53688
2022-04-10,25.25063
2022-04-17,25.43297
