날짜,언급량
2021-05-09,11.60321
2021-05-16,9.86358
2021-05-23,9.44785
2021-05-30,9.46751
2021-06-06,9.61135
2021-06-13,8.93007
2021-06-20,9.44403
2021-06-27,8.69432
2021-07-04,9.29257
2021-07-11,9.278
2021-07-18,9.44974
2021-07-25,8.48709
2021-08-01,8.4649
2021-08-08,9.3908
2021-08-15,9.63418
2021-08-22,9.88703
2021-08-29,10.54169
2021-09-05,11.95178
2021-09-12,13.17111
2021-09-19,15.07297
2021-09-26,14.16165
2021-10-03,13.46073
2021-10-10,11.90805
2021-10-17,10.38516
2021-10-24,11.26543
2021-10-31,10.5683
2021-11-07,11.11333
2021-11-14,11.10826
2021-11-21,11.80158
2021-11-28,13.27757
2021-12-05,14.86828
2021-12-12,15.71116
2021-12-19,19.42173
2021-12-26,13.1033
2022-01-02,11.42451
2022-01-09,10.95806
2022-01-16,11.7135
2022-01-23,12.66789
2022-01-30,10.06701
2022-02-06,10.74133
2022-02-13,10.82497
2022-02-20,10.56197
2022-02-27,8.46554
2022-03-06,9.61579
2022-03-13,9.80782
2022-03-20,9.18864
2022-03-27,9.00675
2022-04-03,8.85466
2022-04-10,9.86548
2022-04-17,9.4713
