날짜,언급량
2021-05-09,41.25793
2021-05-16,38.9243
2021-05-23,41.27616
2021-05-30,52.98082
2021-06-06,44.79487
2021-06-13,40.32813
2021-06-20,39.3254
2021-06-27,41.69551
2021-07-04,42.27892
2021-07-11,40.91155
2021-07-18,41.47672
2021-07-25,40.16406
2021-08-01,41.40379
2021-08-08,45.36003
2021-08-15,44.43022
2021-08-22,50.41017
2021-08-29,45.96168
2021-09-05,42.69824
2021-09-12,40.92977
2021-09-19,33.50955
2021-09-26,43.39103
2021-10-03,38.45029
2021-10-10,41.13032
2021-10-17,38.12211
2021-10-24,38.57791
2021-10-31,37.75749
2021-11-07,38.08565
2021-11-14,37.13761
2021-11-21,38.24974
2021-11-28,37.33816
2021-12-05,38.90607
2021-12-12,38.41382
2021-12-19,38.59612
2021-12-26,38.94254
2022-01-02,43.28165
2022-01-09,43.33634
2022-01-16,42.37008
2022-01-23,42.18775
2022-01-30,35.80671
2022-02-06,52.23332
2022-02-13,49.95438
2022-02-20,50.26434
2022-02-27,44.57608
2022-03-06,43.93797
2022-03-13,48.24061
2022-03-20,145.0501
2022-03-27,114.03825
2022-04-03,64.57609
2022-04-10,43.33632
2022-04-17,55.71556
