날짜,언급량
2021-05-09,189.58976
2021-05-16,181.20326
2021-05-23,196.22602
2021-05-30,281.69549
2021-06-06,243.71918
2021-06-13,236.66358
2021-06-20,220.92977
2021-06-27,230.11848
2021-07-04,251.55876
2021-07-11,239.38009
2021-07-18,225.14126
2021-07-25,203.70096
2021-08-01,204.90426
2021-08-08,214.38465
2021-08-15,230.33725
2021-08-22,239.87235
2021-08-29,232.72557
2021-09-05,212.17863
2021-09-12,200.63806
2021-09-19,170.15492
2021-09-26,202.09658
2021-10-03,184.7037
2021-10-10,182.64353
2021-10-17,159.8541
2021-10-24,156.42658
2021-10-31,154.62166
2021-11-07,151.57699
2021-11-14,148.18593
2021-11-21,139.70827
2021-11-28,134.62166
2021-12-05,137.66634
2021-12-12,131.55876
2021-12-19,130.84772
2021-12-26,128.65995
2022-01-02,144.81311
2022-01-09,154.63988
2022-01-16,144.95895
2022-01-23,138.99724
2022-01-30,134.1841
2022-02-06,155.16861
2022-02-13,153.96533
2022-02-20,164.57609
2022-02-27,164.74016
2022-03-06,163.75567
2022-03-13,172.83498
2022-03-20,176.73653
2022-03-27,170.81126
2022-04-03,167.87599
2022-04-10,177.57517
2022-04-17,216.28073
