날짜,언급량
2021-05-09,321.9325
2021-05-16,304.39377
2021-05-23,285.57883
2021-05-30,301.8049
2021-06-06,290.77482
2021-06-13,288.1677
2021-06-20,276.68182
2021-06-27,288.76934
2021-07-04,291.97807
2021-07-11,295.55146
2021-07-18,290.10024
2021-07-25,272.70734
2021-08-01,301.56787
2021-08-08,325.45119
2021-08-15,314.67636
2021-08-22,308.42293
2021-08-29,305.83406
2021-09-05,306.87324
2021-09-12,304.59431
2021-09-19,355.58792
2021-09-26,331.04829
2021-10-03,342.62531
2021-10-10,310.73835
2021-10-17,284.39376
2021-10-24,295.36915
2021-10-31,287.4749
2021-11-07,299.78118
2021-11-14,290.8295
2021-11-21,277.42932
2021-11-28,291.46759
2021-12-05,325.57882
2021-12-12,327.85775
2021-12-19,339.6718
2021-12-26,334.84044
2022-01-02,382.62529
2022-01-09,392.2151
2022-01-16,391.35821
2022-01-23,409.22511
2022-01-30,559.12486
2022-02-06,444.28438
2022-02-13,416.37189
2022-02-20,424.17498
2022-02-27,383.35457
2022-03-06,337.90334
2022-03-13,319.0337
2022-03-20,289.35274
2022-03-27,296.4266
2022-04-03,282.8441
2022-04-10,292.37917
2022-04-17,293.94711
