날짜,언급량
2021-05-09,2.41453
2021-05-16,2.65726
2021-05-23,2.57551
2021-05-30,2.74978
2021-06-06,2.68705
2021-06-13,2.81949
2021-06-20,2.82583
2021-06-27,3.10722
2021-07-04,2.87337
2021-07-11,2.83914
2021-07-18,2.8816
2021-07-25,2.39299
2021-08-01,2.37333
2021-08-08,2.23139
2021-08-15,2.37207
2021-08-22,2.39806
2021-08-29,2.44685
2021-09-05,2.17688
2021-09-12,2.15597
2021-09-19,2.14836
2021-09-26,2.26181
2021-10-03,2.04379
2021-10-10,2.10843
2021-10-17,2.00134
2021-10-24,1.9329
2021-10-31,1.89866
2021-11-07,2.00071
2021-11-14,1.7979
2021-11-21,1.84353
2021-11-28,1.97472
2021-12-05,1.86446
2021-12-12,1.96331
2021-12-19,1.81057
2021-12-26,1.85684
2022-01-02,2.07295
2022-01-09,2.08752
2022-01-16,2.02922
2022-01-23,1.90438
2022-01-30,2.41707
2022-02-06,2.08498
2022-02-13,1.99374
2022-02-20,1.97851
2022-02-27,1.81121
2022-03-06,2.48805
2022-03-13,2.47602
2022-03-20,2.0552
2022-03-27,2.72317
2022-04-03,2.26752
2022-04-10,2.52798
2022-04-17,2.51658
