날짜,언급량
2021-05-09,0.60265
2021-05-16,0.75349
2021-05-23,0.77693
2021-05-30,0.71229
2021-06-06,0.75287
2021-06-13,0.76237
2021-06-20,0.75095
2021-06-27,0.5342
2021-07-04,0.68694
2021-07-11,0.87072
2021-07-18,0.75919
2021-07-25,0.53611
2021-08-01,0.53484
2021-08-08,0.45816
2021-08-15,3.01977
2021-08-22,38.16286
2021-08-29,89.65279
2021-09-05,97.71087
2021-09-12,96.56506
2021-09-19,64.07038
2021-09-26,52.04441
2021-10-03,53.15285
2021-10-10,66.21815
2021-10-17,52.47854
2021-10-24,90.07108
2021-10-31,214.81124
2021-11-07,181.22081
2021-11-14,101.58178
2021-11-21,66.89753
2021-11-28,45.72345
2021-12-05,31.39825
2021-12-12,42.62442
2021-12-19,28.23839
2021-12-26,32.73419
2022-01-02,27.71494
2022-01-09,20.42431
2022-01-16,49.6362
2022-01-23,49.74519
2022-01-30,43.39317
2022-02-06,31.73732
2022-02-13,36.11841
2022-02-20,17.73026
2022-02-27,17.61365
2022-03-06,60.25523
2022-03-13,34.67282
2022-03-20,15.05206
2022-03-27,10.17032
2022-04-03,15.43927
2022-04-10,12.25154
2022-04-17,8.87051
