날짜,언급량
2021-05-09,0.17868
2021-05-10,0.14065
2021-05-11,0.14953
2021-05-12,0.15714
2021-05-13,0.16665
2021-05-14,0.17615
2021-05-15,0.16855
2021-05-16,0.16982
2021-05-17,0.15903
2021-05-18,0.16219
2021-05-19,0.12734
2021-05-20,0.15142
2021-05-21,0.17489
2021-05-22,0.17044
2021-05-23,0.16663
2021-05-24,0.17995
2021-05-25,0.12608
2021-05-26,0.17867
2021-05-27,0.17805
2021-05-28,0.13304
2021-05-29,0.18629
2021-05-30,0.17931
2021-05-31,0.15524
2021-06-01,0.1603
2021-06-02,0.15396
2021-06-03,0.16727
2021-06-04,0.16347
2021-06-05,0.18247
2021-06-06,0.17679
2021-06-07,0.13368
2021-06-08,0.14889
2021-06-09,0.11974
2021-06-10,0.14762
2021-06-11,0.16728
2021-06-12,0.21163
2021-06-13,0.17931
2021-06-14,0.16665
2021-06-15,0.14826
2021-06-16,0.166
2021-06-17,0.15839
2021-06-18,0.17869
2021-06-19,0.16664
2021-06-20,0.15776
2021-06-21,0.15268
2021-06-22,0.17931
2021-06-23,0.15269
2021-06-24,0.16156
2021-06-25,0.12862
2021-06-26,0.16853
2021-06-27,0.15649
